Order,Family,Genus,Species,Synonyms,Common_names
CHARADRIIFORMES,ALCIDAE,Aethia,cristatella,,Crested Auklet
CHARADRIIFORMES,ALCIDAE,Aethia,psittacula,Cyclorrhynchus psittacula psittacula|Cyclorrhynchus psittacula psittacula,Parakeet Auklet
CHARADRIIFORMES,ALCIDAE,Aethia,pusilla,,Least Auklet
CHARADRIIFORMES,ALCIDAE,Aethia,pygmaea,,Whiskered Auklet
CHARADRIIFORMES,ALCIDAE,Alca,torda,,Razorbill
CHARADRIIFORMES,ALCIDAE,Alle,alle,,"Little Auk, Dovekie"
CHARADRIIFORMES,ALCIDAE,Brachyramphus,brevirostris,,Kittlitz's Murrelet
CHARADRIIFORMES,ALCIDAE,Brachyramphus,marmoratus,,Marbled Murrelet
CHARADRIIFORMES,ALCIDAE,Brachyramphus,perdix,,Long-billed Murrelet
CHARADRIIFORMES,ALCIDAE,Cepphus,carbo,,Spectacled Guillemot
CHARADRIIFORMES,ALCIDAE,Cepphus,columba,,Pigeon Guillemot
CHARADRIIFORMES,ALCIDAE,Cepphus,grylle,,Black Guillemot
CHARADRIIFORMES,ALCIDAE,Cerorhinca,monocerata,,Rhinoceros Auklet
CHARADRIIFORMES,ALCIDAE,Fratercula,arctica,,"Atlantic Puffin, Puffin"
CHARADRIIFORMES,ALCIDAE,Fratercula,cirrhata,Lunda cirrhata ,Tufted Puffin
CHARADRIIFORMES,ALCIDAE,Fratercula,corniculata,,Horned Puffin
CHARADRIIFORMES,ALCIDAE,Pinguinus,impennis,,Great Auk
CHARADRIIFORMES,ALCIDAE,Ptychoramphus,aleuticus,,Cassin's Auklet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,antiquus,,Ancient Murrelet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,craveri,Brachyramphus craveri craveri|Brachyramphus craveri craveri,Craveri's Murrelet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,hypoleucus,,Guadalupe Murrelet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,scrippsi,,Scripps's Murrelet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,wumizusume,,"Japanese Murrelet, Crested Murrelet"
CHARADRIIFORMES,ALCIDAE,Uria,aalge,,"Common Murre, Guillemot, Common Murre"
CHARADRIIFORMES,ALCIDAE,Uria,lomvia,,"Thick-billed Murre, Thick-billed Murre, Brünnich's Guillemot"
CHARADRIIFORMES,BURHINIDAE,Burhinus,bistriatus,,Double-striped Thick-knee
CHARADRIIFORMES,BURHINIDAE,Burhinus,capensis,,"Spotted Thick-knee, Spotted Dikkop"
CHARADRIIFORMES,BURHINIDAE,Burhinus,grallarius,,"Bush Thick-knee, Bush Stone-curlew"
CHARADRIIFORMES,BURHINIDAE,Burhinus,indicus,,Indian Thick-knee
CHARADRIIFORMES,BURHINIDAE,Burhinus,oedicnemus,,"Eurasian Thick-knee, Stone Curlew"
CHARADRIIFORMES,BURHINIDAE,Burhinus,senegalensis,,Senegal Thick-knee
CHARADRIIFORMES,BURHINIDAE,Burhinus,superciliaris,,Peruvian Thick-knee
CHARADRIIFORMES,BURHINIDAE,Burhinus,vermiculatus,,"Water Thick-knee, Water Dikkop"
CHARADRIIFORMES,BURHINIDAE,Esacus,magnirostris,Burhinus giganteus giganteus|Esacus giganteus|Esacus magnirostris magnirostris|Esacus neglectus neglectus,"Beach Thick-knee, Beach Stone-curlew"
CHARADRIIFORMES,BURHINIDAE,Esacus,recurvirostris,Burhinus recurvirostris recurvirostris,"Great Thick-knee, Great Stone-curlew"
CHARADRIIFORMES,CHARADRIIDAE,Anarhynchus,frontalis,,Wrybill
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alexandrinus,,"Kentish Plover, Snowy Plover"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alticola,,Puna Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,aquilonius,,Northern Red-breasted Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,asiaticus,,Caspian Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bicinctus,,"Double-banded Plover, Banded Dotterel"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bifrontatus,,Madagascar Three-banded Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,collaris,,Collared Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dealbatus,,White-faced Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dubius,,Little Ringed Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,falklandicus,,Two-banded Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,forbesi,,Forbes's Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,hiaticula,,"Common Ringed Plover, Ringed Plover"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,javanicus,,Javan Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,leschenaultii,,"Greater Sandplover, Large Sand Dotterel, Greater Sand-Plover"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,marginatus,,White-fronted Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,melodus,,Piping Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,modestus,,"Rufous-chested Plover, Rufous-chested Dotterel"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,mongolus,,"Lesser Sandplover, Mongolian Dotterel, Lesser Sand-Plover, Mongolian Plover"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,montanus,,Mountain Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,nivosus,,Snowy Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,obscurus,,Southern Red-breasted Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,pallidus,,Chestnut-banded Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,pecuarius,,Kittlitz's Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,peronii,,Malay Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,placidus,,Long-billed Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,ruficapillus,,"Red-capped Plover, Red-capped Dotterel"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,sanctaehelenae,,"St Helena Plover, St. Helena Plover, Saint Helena Plover, Wirebird"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,semipalmatus,,Semipalmated Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,thoracicus,,"Black-banded Plover, Black-banded Plover"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,tricollaris,,"African Three-banded Plover, Three-banded Plover"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,veredus,,"Oriental Plover, Oriental Dotterel"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,vociferus,,Killdeer
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,wilsonia,,Wilson's Plover
CHARADRIIFORMES,CHARADRIIDAE,Elseyornis,melanops,Charadrius melanops melanops,Black-fronted Dotterel
CHARADRIIFORMES,CHARADRIIDAE,Erythrogonys,cinctus,,Red-kneed Dotterel
CHARADRIIFORMES,CHARADRIIDAE,Eudromias,morinellus,Charadrius morinellus |Charadrius morinellus morinellus|Charadrius morinellus morinellus|Charadrius morinellus morinellus,"Eurasian Dotterel, Dotterel"
CHARADRIIFORMES,CHARADRIIDAE,Hoploxypterus,cayanus,Vanellus cayanus,Pied Lapwing
CHARADRIIFORMES,CHARADRIIDAE,Oreopholus,ruficollis,Eudromias ruficollis |Eudromias ruficollis ruficollis,Tawny-throated Dotterel
CHARADRIIFORMES,CHARADRIIDAE,Peltohyas,australis,Charadrius australis|Peltohyas australis,"Inland Dotterel, Inland Plover"
CHARADRIIFORMES,CHARADRIIDAE,Phegornis,mitchellii,,"Diademed Plover, Diademed Plover, Diademed Sandpiper-Plover"
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,apricaria,,"Eurasian Golden Plover, European Golden-Plover, European Golden Plover, Eurasian Golden-Plover, Golden Plover"
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,dominica,Pluvialis dominicus dominicus,"American Golden Plover, Lesser Golden Plover, American Golden-Plover"
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,fulva,,"Pacific Golden Plover, Pacific Golden-Plover"
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,squatarola,,"Grey Plover, Black-bellied Plover"
CHARADRIIFORMES,CHARADRIIDAE,Thinornis,cucullatus,Charadrius rubricollis rubricollis|Charadrius rubricollis rubricollis|Charadrius rubricollis rubricollis|Charadrius rubricollis rubricollis|Thinornis rubricollis,"Hooded Plover, Hooded Dotterel"
CHARADRIIFORMES,CHARADRIIDAE,Thinornis,novaeseelandiae,,"Shore Plover, Shore Dotterel"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,albiceps,,"White-headed Lapwing, White-crowned Lapwing, White-crowned Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,armatus,,"Blacksmith Lapwing, Blacksmith Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,chilensis,,Southern Lapwing
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,cinereus,,Grey-headed Lapwing
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,coronatus,,"Crowned Lapwing, Crowned Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,crassirostris,,"Long-toed Lapwing, Long-toed Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,duvaucelii,,River Lapwing
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,gregarius,Chettusia gregaria gregaria|Chettusia gregaria gregaria,"Sociable Lapwing, Sociable Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,indicus,Hoplopterus indicus |Hoplopterus indicus indicus,"Red-wattled Lapwing, Red-wattled Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,leucurus,Chettusia leucura leucura,"White-tailed Lapwing, White-tailed Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,lugubris,,"Senegal Lapwing, Lesser Black-winged Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,macropterus,,"Javan Lapwing, Javanese Lapwing, Sunda Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,malarbaricus,,Yellow-wattled Lapwing
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanocephalus,,"Spot-breasted Lapwing, Spot-breasted Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanopterus,,"Black-winged Lapwing, Black-winged Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,miles,,"Masked Lapwing, Masked Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,novaehollandiae,,Black-shouldered Lapwing
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,resplendens,,Andean Lapwing
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,senegallus,,"Wattled Lapwing, African Wattled Lapwing, Senegal Wattled Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,spinosus,Hoplopterus spinosus |Hoplopterus spinosus spinosus,"Spur-winged Lapwing, Spur-winged Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,superciliosus,,"Brown-chested Lapwing, Brown-chested Wattled Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tectus,Hoplopterus tectus |Hoplopterus tectus tectus,"Black-headed Lapwing, Blackhead Plover, Black-headed Plover"
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tricolor,,Banded Lapwing
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,vanellus,,"Northern Lapwing, Lapwing"
CHARADRIIFORMES,CHIONIDAE,Chionis,albus,Chionis alba |Chionis alba |Chionis alba |Chionis alba ,"Snowy Sheathbill, American Sheathbill"
CHARADRIIFORMES,CHIONIDAE,Chionis,minor,,Black-faced Sheathbill
CHARADRIIFORMES,DROMADIDAE,Dromas,ardeola,,"Crab-plover , Crab-plover"
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,coromandelicus,,Indian Courser
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,cursor,,Cream-coloured Courser
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,rufus,,Burchell's Courser
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,somalensis,,Somali Courser
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,temminckii,,Temminck's Courser
CHARADRIIFORMES,GLAREOLIDAE,Glareola,cinerea,,Grey Pratincole
CHARADRIIFORMES,GLAREOLIDAE,Glareola,lactea,,"Little Pratincole, Little Pratincole"
CHARADRIIFORMES,GLAREOLIDAE,Glareola,maldivarum,,Oriental Pratincole
CHARADRIIFORMES,GLAREOLIDAE,Glareola,nordmanni,,Black-winged Pratincole
CHARADRIIFORMES,GLAREOLIDAE,Glareola,nuchalis,,Rock Pratincole
CHARADRIIFORMES,GLAREOLIDAE,Glareola,ocularis,,Madagascar Pratincole
CHARADRIIFORMES,GLAREOLIDAE,Glareola,pratincola,,"Collared Pratincole, Common Pratincole"
CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,bitorquatus,Cursorius bitorquatus bitorquatus,Jerdon's Courser
CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,chalcopterus,,Bronze-winged Courser
CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,cinctus,,Three-banded Courser
CHARADRIIFORMES,GLAREOLIDAE,Smutsornis,africanus,Rhinoptilus africanus,Double-banded Courser
CHARADRIIFORMES,GLAREOLIDAE,Stiltia,isabella,,Australian Pratincole
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,ater,Haematopus bachmani,Blackish Oystercatcher
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,chathamensis,,"Chatham Oystercatcher, Chatham Islands Oystercatcher, Chatham Island Pied Oystercatcher"
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,fuliginosus,,Sooty Oystercatcher
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,leucopodus,,Magellanic Oystercatcher
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,longirostris,,"Pied Oystercatcher, Australian Pied Oystercatcher"
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,meadewaldoi,,"Canarian Oystercatcher, Canarian Black Oystercatcher"
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,moquini,,"African Oystercatcher, African Black Oystercatcher"
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,ostralegus,Haematopus finschi,"Eurasian Oystercatcher, Pied Oystercatcher"
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,palliatus,,American Oystercatcher
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,unicolor,,Variable Oystercatcher
CHARADRIIFORMES,IBIDORHYNCHIDAE,Ibidorhyncha,struthersii,,Ibisbill
CHARADRIIFORMES,JACANIDAE,Actophilornis,africanus,,African Jacana
CHARADRIIFORMES,JACANIDAE,Actophilornis,albinucha,,Madagascar Jacana
CHARADRIIFORMES,JACANIDAE,Hydrophasianus,chirurgus,,Pheasant-tailed Jacana
CHARADRIIFORMES,JACANIDAE,Irediparra,gallinacea,,Comb-crested Jacana
CHARADRIIFORMES,JACANIDAE,Jacana,jacana,,Wattled Jacana
CHARADRIIFORMES,JACANIDAE,Jacana,spinosa,,Northern Jacana
CHARADRIIFORMES,JACANIDAE,Metopidius,indicus,,Bronze-winged Jacana
CHARADRIIFORMES,JACANIDAE,Microparra,capensis,,Lesser Jacana
CHARADRIIFORMES,LARIDAE,Anous,minutus,,Black Noddy
CHARADRIIFORMES,LARIDAE,Anous,stolidus,,"Brown Noddy, Common Noddy"
CHARADRIIFORMES,LARIDAE,Anous,tenuirostris,,"Lesser Noddy, Sooty Noddy"
CHARADRIIFORMES,LARIDAE,Chlidonias,albostriatus,Chlidonias albostriatus|Chlidonias albostriatus|Chlidonias albostriatus|Sterna albostriata,Black-fronted Tern
CHARADRIIFORMES,LARIDAE,Chlidonias,hybrida,Chlidonias hybridus hybridus|Chlidonias hybridus hybridus|Chlidonias hybridus hybridus|Chlidonias hybridus hybridus,Whiskered Tern
CHARADRIIFORMES,LARIDAE,Chlidonias,leucopterus,,"White-winged Tern, White-winged Black Tern"
CHARADRIIFORMES,LARIDAE,Chlidonias,niger,,Black Tern
CHARADRIIFORMES,LARIDAE,Creagrus,furcatus,,Swallow-tailed Gull
CHARADRIIFORMES,LARIDAE,Gelochelidon,macrotarsa,,Australian Gull-billed Tern
CHARADRIIFORMES,LARIDAE,Gelochelidon,nilotica,,Common Gull-billed Tern
CHARADRIIFORMES,LARIDAE,Gygis,alba,,"Common White Tern, Fairy Tern, Common White-Tern, Angel Tern, White Tem, White Tern"
CHARADRIIFORMES,LARIDAE,Gygis,microrhyncha,,"Little White Tern, Little White-Tern"
CHARADRIIFORMES,LARIDAE,Hydrocoloeus,minutus,Larus minutus,Little Gull
CHARADRIIFORMES,LARIDAE,Hydroprogne,caspia,Hydroprogne caspia|Hydroprogne caspia|Hydroprogne caspia|Sterna caspia,Caspian Tern
CHARADRIIFORMES,LARIDAE,Larosterna,inca,,Inca Tern
CHARADRIIFORMES,LARIDAE,Larus,argentatus,,European Herring Gull
CHARADRIIFORMES,LARIDAE,Larus,armenicus,,Armenian Gull
CHARADRIIFORMES,LARIDAE,Larus,atlanticus,,Olrog's Gull
CHARADRIIFORMES,LARIDAE,Larus,atricilla,Leucophaeus atricilla atricilla,Laughing Gull
CHARADRIIFORMES,LARIDAE,Larus,audouinii,,Audouin's Gull
CHARADRIIFORMES,LARIDAE,Larus,belcheri,,"Belcher's Gull, Belcher's Gull"
CHARADRIIFORMES,LARIDAE,Larus,brunnicephalus,,Brown-headed Gull
CHARADRIIFORMES,LARIDAE,Larus,bulleri,,Black-billed Gull
CHARADRIIFORMES,LARIDAE,Larus,cachinnans,,Caspian Gull
CHARADRIIFORMES,LARIDAE,Larus,californicus,,California Gull
CHARADRIIFORMES,LARIDAE,Larus,canus,,"Mew Gull, Common Gull"
CHARADRIIFORMES,LARIDAE,Larus,cirrocephalus,,"Grey-headed Gull, Grey-hooded Gull, Gray-hooded Gull"
CHARADRIIFORMES,LARIDAE,Larus,crassirostris,,Black-tailed Gull
CHARADRIIFORMES,LARIDAE,Larus,delawarensis,,Ring-billed Gull
CHARADRIIFORMES,LARIDAE,Larus,dominicanus,,"Kelp Gull, Southern Black-backed Gull"
CHARADRIIFORMES,LARIDAE,Larus,fuliginosus,,Lava Gull
CHARADRIIFORMES,LARIDAE,Larus,fuscus,,Lesser Black-backed Gull
CHARADRIIFORMES,LARIDAE,Larus,genei,,Slender-billed Gull
CHARADRIIFORMES,LARIDAE,Larus,glaucescens,,Glaucous-winged Gull
CHARADRIIFORMES,LARIDAE,Larus,glaucoides,,Iceland Gull
CHARADRIIFORMES,LARIDAE,Larus,hartlaubii,,"Hartlaub's Gull, Hartlaub's Gull"
CHARADRIIFORMES,LARIDAE,Larus,heermanni,,Heermann's Gull
CHARADRIIFORMES,LARIDAE,Larus,hemprichii,,"Sooty Gull, Hemprich's Gull"
CHARADRIIFORMES,LARIDAE,Larus,hyperboreus,,Glaucous Gull
CHARADRIIFORMES,LARIDAE,Larus,ichthyaetus,,"Pallas's Gull, Great Black-headed Gull"
CHARADRIIFORMES,LARIDAE,Larus,leucophthalmus,,White-eyed Gull
CHARADRIIFORMES,LARIDAE,Larus,livens,,Yellow-footed Gull
CHARADRIIFORMES,LARIDAE,Larus,maculipennis,,Brown-hooded Gull
CHARADRIIFORMES,LARIDAE,Larus,marinus,,"Great Black-backed Gull, Greater Black-backed Gull"
CHARADRIIFORMES,LARIDAE,Larus,melanocephalus,,Mediterranean Gull
CHARADRIIFORMES,LARIDAE,Larus,michahellis,,Yellow-legged Gull
CHARADRIIFORMES,LARIDAE,Larus,modestus,,"Grey Gull, Gray Gull"
CHARADRIIFORMES,LARIDAE,Larus,novaehollandiae,Larus scopulinus,Silver Gull
