cite_id,citation_name,citation
citation1,Ainley 1995,"AINLEY, D. G. 1995. Ashy Storm-Petrel (Oceanodroma homochroa). No. 185 in The Birds of North America (A. Pool and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, and The American Ornithologists’ Washington, D.C."
citation2,Ainley et al 1974,"AINLEY, D. G., S. H. MORRELL AND T. J. LEWIS. 1974. Patterns in the life histories of Storm-Petrels on the Farallon Islands. Living Bird 13:295-312."
citation3,Ainley et al 1990,"AINLEY, D. G., R. P. HENDERSON AND C. S. STRONG. 1990. Leach’s Storm-Petrel and Ashy Storm-Petrel. Pp. 128-162 in Seabirds of the Farallon Islands: ecology, dynamics, and structure of an upwelling-system community (D. G. Ainley and R. J. Boekelheide, eds.). Stanford Univ. Press, Stanford, CA."
citation4,Ainley et al 1997,"AINLEY, D. G., T. C. TELFER AND M. H. REYNOLDS. 1997. Newell’s and Townsend’s Shearwater (Puffinus auricularis). No. 297 in The Birds of North America (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Union, Washington, D.C."
citation5,Altwegg et al 2007,"ALTWEGG, R., R. J. M. CRAWFORD, L. G. UNDERHILL, A. P. MARTIN AND P. A. WHITTINGTON. 2007. Geographic variation in reproduction and survival of kelp gulls Larus dominicanus vetula in sourthern Africa. Journal of Avian Biology 38: 580-586."
citation6,Amerson and Shelton 1976,"AMERSON, A. B., Jr. AND P. C. SHELTON. 1976. The natural history of Johnston Atoll, central Pacific Ocean. Atoll Research Bulletin. 192: 1-479."
citation7,Anderson 1993,"ANDERSON, D. J. 1993. Masked Booby (Sula dactylatra). No. 73 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation8,Ashcroft 1979,"ASHCROFT, R. E. 1979. Survival rates and breeding biology of Puffins on Skomer Island, Wales. Ornis Scandinavica 10: 100-110."
citation9,Austin and Austin 1956,"AUSTIN, O. L., AND AUSTIN, O. L., Jr. 1956. Some demographic aspects of the Cape Cod population of Common Terns (Sterna hirundo). Bird-Banding 27, 55-66."
citation10,Baird 1986,"BAIRD, P. H. 1986. Arctic and Aleutian Terns. Pp. 349-380 in The breeding biology and feeding ecology of marine birds in the Gulf of Alaska (P. H. Baird and P. J. Gould eds.). Environmental Assessment of the Alaska Continental Shelf, Final Report,  Vol. 45, Juneau, AK."
citation11,Baird 1994,"BAIRD, P. H. 1994. Black-legged Kittiwake (Rissa tridactyla). No.92 in The Birds of  North America, (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation12,Bakaria et al 2002,"BAKARIA, F., H. RIZI, N ZIANE, Y. CHABI AND J. BANBURA. 2002. Breeding ecology of Whiskered Terns  in Algeria, North Africa. Waterbirds 25: 56-62."
citation13,Barbraud et al 2014,"BARBRAUD, C., A. BOOTH, G. A. TAYLOR, AND S. M. WAUGH. 2014. Survivorship in flesh-footed shearwaters Puffinus carneipes. Marine Ornithology 42: 91-97."
citation14,Barlow and Dowding 2002,"BARLOW, M. L., AND J. E. DOWDING. 2002. Breeding biology of Caspian terns (Sterna caspia) at a colony near Invercargill, New Zealand. Notornis 49: 76-90.  "
citation15,Barrat 1976,"BARRAT, A. 1976. Quelques aspects de la biologie et de l’&#233;cologie du Manchot Royal (Aptenodytes patagonica) des L'isles Crozet. Com. Nat. Fran&#231;ais Rech. Antarct. 40: 9-52."
citation16,BBL,"BIRD BANDING LABORATORY. Patuxent Wildlife Research Center, U.S. Geological Survey."
citation17,Beadell et al 2003,"BEADELL, J. S., E. A. SCHREIBER, R. W. SCHREIBER, G. A. SCHENK, P. F. DOHERTY, JR. 2003. Survival of Brown Boobies (Sula leucogaster) at Johnston Atoll: a long-term study. Auk 120: 811-817. "
citation18,Beck and Brown 1972,"BECK, J. R., AND D. W. BROWN. 1972. The biology of Wilson’s storm petrel, Oceanites oceanicus (Kuhl), at Signy Island, South Orkney Islands. Scientific reports of the British Antarctic Survey, no. 69."
citation19,Beissinger 1995,"BEISSINGER, S.R. 1995. Population trends of the Marbled Murrelet projected from demographic analyses. In: Ecology and Conservation of the Marbled Murrelet. Ralph, C.J., Hunt Jr., G.L., Raphael, M.G. & Piatt, J.F. (Eds.). USDA Forest Service General Technical Report PSW-GTR-152. pp. 385-393."
citation20,Bellose 1983,"BELLOSE, C. A. 1983. The breeding biology and ecology of a small mainland colony of Western Gulls. Master’s thesis, California State Univ., San Jose."
citation21,Bent 1921,"BENT, A. C. 1921. Life histories of North American gulls and terns. U.S. National Museum Bulletin 113."
citation22,Birdlife,Birdlife International Fact sheets
citation23,Boekelheide and Ainley 1989,"BOEKELHEIDE, R. J., AND D. G. AINLEY. 1989. Age, resource availability, and breeding effort in Brandt’s Cormorant. Auk 106: 389-401."
citation24,Boekelheide et al 1990,"BOEKELHEIDE, R. J., D. G. AINLEY, S. H. MORRELL AND T. J. LEWIS. 1990. "
citation25,Boersma 1976,"BOERSMA, P.D. 1976. An ecological and behavioral study of the Galapagos Penguin. Living Bird 15: 43-93."
citation26,Bolton et al 2008,"BOLTON, M., A.L. SMITH, E. G&#211;MEZ-D&#205;AZ, V.L. FRIESEN, R. MEDEROS, J. BRIED, J.L. ROSCALES, AND R.W. FURNESS. 2008. Montero's Storm-petrel Oceanodroma monteiroi: a new species from the Azores. Ibis 150: 717-727"
citation27,Bretagnolle and Attie 1991,"BRETAGNOLLE, V., AND C. ATTIÉ.  1991. Status of Barau’s Petrel (Pterdroma baraui): colony sites, breeding population and taxonomic affinities. Colonial Waterbirds 14: 25-33. "
citation28,Breton and Diamond 2014,"BRETON, A. R., AND A. W. DIAMOND. 2014. Annual survival of adult Atlantic Puffins Fratercula arctica is positively correlated with Herring Clupea harengus availability. Ibis 156: 35-47."
citation29,Breton et al 2008,"BRETON, A. R. , G. A. FOX AND J. W. CHARDINE. 2008. Survival of adult Herring gulls (Larus argentatus) from a Lake Ontario colony over two decades of environmental change. Waterbirds 31: 15-23."
citation30,Brooke 1978,"BROOKE, M. de L. 1978. Weights and measurements of the Manx Shearwater Puffinus puffinus. Journal Zoology London. 186: 359-374."
citation31,Brown 1966,"BROWN, D. A. 1966. Breeding biology of the Snow Petrel Pagodroma nivea. Australian National Antarctic Research Expedition Scientific Report B (1) Zoology 89: 1-63."
citation32,Brown 1976,"BROWN, W. Y. 1976. Growth and fledging age of the Brown Noddy in Hawaii. Condor 78: 263-264."
citation33,Bryant and Furness 1995,"BRYANT, D.M., AND R.W. FURNESS. 1995. Basal metabolic rates of North Atlantic seabirds. Ibis 137: 219-226."
citation34,BTO,BTO. British Trust for Ornithology. Banding records.
citation35,Burger 1972,"BURGER, J. 1972. Dispersal and post-fledging survival of Franklin’s Gulls. Bird Banding 43: 267-275."
citation36,Burger 1974,"BURGER, J. 1974. Breeding adaptations of Franklin’s Gull (Larus pipixcan) to a marsh habitat. Animal Behavior 22: 521-567."
citation37,Burger 1980,"BURGER, J. 1980. The transition to independence and post-fledging parental care in seabirds. Pages 624-666 in Behavior of Marine Animals: current perspectives in research, Vol. 4 Marine Birds (J. Burger, D. L. Olla, and H. E. Winn eds.). Plenum Press, New York."
citation38,Burger 1996,"BURGER, J. 1996. Laughing Gull (Larus atricilla). No. 225 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Union, Washington, D.C."
citation39,Burger and Gochfeld 1994,"BURGER, J., AND M. GOCHFELD. 1994. Franklin’s Gull (Larus pipixcan). No. 116 in North America, (A. Poole and F, Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation40,Burger and Gochfeld 1996,"BURGER, J., AND M. GOCHFELD. 1996. Family Laridae (gulls). Pages 572-622 in Handbook of Birds of the World (J. del Hoyo, A. Elliott and J. Sargatal eds). Lynx Editions, Barcelona."
citation41,Burger and Piatt 1990,"BURGER, A.E., AND J. PIATT. 1990. Flexible time budgets in Common Murres: buffers against variable prey abundance. Studies in Avian Biology 14: 71-83."
citation42,Burke and Brown 1970,"BURKE, V. E. M., AND L. J. BROWN. 1970. Observation on the breeding of the Pink-backed Pelican Pelecanus refescens. Ibis 112: 499-512."
citation43,Burness et al 1999,"BURNESS, G. P., K. LEFEVRE AND C. T. COLLINS. 1999. Elegant Tern (Sterna elegans). No. 404 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation44,Byrd and Williams 1993a,"BYRD, G. V., AND J. C. WILLIAMS. 1993a. Red-legged Kittiwake (Rissa brevirostris). No. 60 in The Birds of North America, (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation45,Byrd and Williams 1993b,"BYRD, G. V., AND J. C. WILLIAMS. 1993b. Whiskered Auklet (Aethia pygmaea). No. 76 in The Birds of North America, (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation46,Carboneras 1992,"CARBONERAS, C. 1992. Order Procellariiformes. Pages198-270 in Handbook of Birds of the World (J. del Hoyo, A. Elliott and J. Sargatal eds). Lynx Editions, Barcelona."
citation47,Carmona 1993,"CARMONA, R., 1993. Reproduccion y crecimiento de dos especies de gaviota (Larus livens y L. occidentalis) anidantes en Baja California Sur. M.Sc. thesis, Centro Interdisciplinario de Ciencias Mainas, Inst. Politech. Nacl., La Paz, Baja California, Sur."
citation48,Carmona et al 1995,"CARMONA, R., J. GUZMAN AND J. F. ELORDUY. 1995. Hatching growth and mortality of Magnificent Frigatebirds in southern Baja California. Wilson Bulletin 107: 328-337."
citation49,Chabryzk and Coulson 1976,"CHABRYZK, G., AND J.C. COULSON. 1976. Survival and recruitment in the Herring Gull Larus argentatus. Journal of Animal Ecology 45: 187-203."
citation50,Cody 1973,"CODY, M. L. 1973. Coexistence, Coevolution and Convergent Evolution in seabird communities. Ecology 54:1."
citation51,Cohen et al 2004,"COHEN, C., M. MILLS, P. RYAN, I SINCLAIR, P. V. PINTO, AND C. SPOTISWOODE. 2004. New Zealand Storm-petrel rediscovered. World Birdwatch 26: 4-5."
citation52,Collins and Doherty 2006,"COLLINS, C. T., AND P. F. DOHERTY, JR. 2006. Survival estimates for Royal Terns in Southern California. Journ. Of field Ornithology 77: 310-314."
citation53,Collins et al 1996,"COLLINS, C. T., B. W. MASSEY, L. M. DARES, M. WIMER AND K. GAZZINGA. 1996. Banding of adult California Least Tern at Marine Corps Base, Camp Pendleton between 1987 and 1995. Rep. to Dep. Navy, Nat. Resources Manage. Branch, Southwestern and Western Div., Naval Facilities Eng. Command, San Diego and San Bruno, CA."
citation54,Coulson and White 1956,"COULSON, J. C., AND E. WHITE. 1956. A study of colonies of the Kittiwake Rissa tridactyla. Ibis 98: 63-79."
citation55,Coulson and White 1959,"COULSON, J. C., AND E. WHITE. 1959. The post-fledging mortality of the Kittiwake. Bird Study 6, 97-102."
citation56,Cramp and Simmons 1983,"CRAMP, S., AND K. E. L. SIMMONS, (Eds). 1983. Handbook of the birds of Europe , the Middle East, and North Africa, the birds of the western Palearctic. Vol.3: waders to gulls. Oxford Univ. Press, Oxford."
citation57,Crivelli 1987,"CRIVELLI, A. J. 1987. The ecology and behaviour of the Dalmation Pelican Pelecanus crispus, a world-endangered species. Internal Report, Station Biologique de la Tour du Valat."
citation58,Croxall 1981,"CROXALL, J. P. 1981. Aspects of the population demography of Antarctic and Subantarctic seabirds.  Colloque sur les ecosystèmes subantarctiques, Paimpont, Com. Nat. Français Rech. Antarct."
citation59,Croxall 1987,"CROXALL, J. P. 1987. (Ed.). Seabirds, feeding ecology and role in marine ecosystems. Cambridge University Press, Cambridge, England."
citation60,Croxall and Gaston 1988,"CROXALL, J. P., AND A. J. GASTON. 1988. Patterns of reproduction in high-latitude northern- and southern-hemisphere seabirds. Proc. XIX Intl. Ornithol. Congr. 1176-1194."
citation61,Croxall and Prince 1983,"CROXALL, J. P., AND P. A. PRINCE. 1983. Antarctic penguins and albatrosses. Oceanus 26: 18-27."
citation62,Croxall and Rothery 1995,"CROXALL, J. P., AND P. ROTHERY. 1995.  Population changes in the Gentoo Penguin Pygocelis papua at bird Island, South Georgia: potential roles of adult survival, recruitment and deferred breeding. Pages 26-38 in Penguins: advances in research and management (P. Dann, I Norman, and P. Reilly, eds.). surrey, Beatty and Sons, Chipping Norton, Australia."
citation63,Cullen 1957,"CULLEN, J. M. 1957. Plumage, age and mortality in the Arctic Tern. Bird Study 4: 197-207."
citation64,Cuthbert and Davis 2002,"CUTHBERT, R. AND L. S. DAVIS. 2002. Adult survival and productivity of Hutton’s Shearwaters. Ibis 144: 423-432."
citation65,Cuthbert and Wires 1999,"CUTHBERT, F. J., AND L. R. WIRES. 1999. Caspian Tern (Sterna caspia). No. 403 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation66,Day et al 1999,"DAY, R. H., D. J. KULETZ AND D. A. NIGRO. 1999. Kittlitz's Murrelet (Brachyramphus brevirostris). No. 435 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation67,DeWeese and Anderson 1976,"DEWEESE, L. R., AND D. W. ANDERSON. 1976. Distribution and breeding biology of Craveri’s Murrelet. Transactions of the San Diego Society of Natural History 18: 155-168."
citation68,Diamond 1975,"DIAMOND, A. W. 1975. The biology and behaviour of frigatebirds Fregata spp. on Aldabra Atoll. Ibis 117: 302-323."
citation69,Diamond and Schreiber in press,"DIAMOND, A. W., AND E. A. SCHREIBER. In press. The Magnificent Frigatebird  Fregata magnificens. In The Birds of North America, (A. Poole and F. Gill, eds.). Birds of North America, Inc., Philadelphia, PA."
citation70,Din and Eltringham 1974,"DIN, N. A., AND K. ELTRINGHAM. 1974. Breeding of the pink-backed pelican Pelecanus refescens in Rwenzori National Park, Uganda. Ibis 116: 477-493."
citation71,Dinsmore 2008,"DINSMORE, S. J. 2008. Black skimmer nest survival in Mississippi. Waterbirds 31: 24-29."
citation72,Dittmann et al 2001,"DITTMANN, T., J. D. LUDWIG AND P. H. BECKER. 2001. The influence of fledging number and hatching order on return rates of Common Terns (Sterna hirundo). Atlantic Seabirds 3: 179-186."
citation73,Dorward 1962,"DORWARD, D. F. 1962. Comparative biology of the white booby and the brown booby Sula spp. at Ascension. Ibis 103b: 174-220."
citation74,Drost and Lewis 1995,"DROST, C. A., AND D. B. LEWIS. 1995. Xantus’ Murrelet (Synthliboramphus hypoleucus). No. 164 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, and The American Ornithologists’ Union, Washington, D.C."
citation75,Duffy 1987,"DUFFY, D. C. 1987. Ecological implications of intercolony size variation in Jackass Penguins. Ostrich 58:54-57."
citation76,Dunlop and Jenkins 1992,"DUNLOP, J. N., AND J. JENKINS. 1992. Known-age birds at a subtropical breeding colony of  the Bridled Tern (Sterna anaethetus): a comparison with the Sooty Tern. Colonial Waterbirds 15:75-82."
citation77,Dunlop and Jenkins 1994,"DUNLOP, J. N., AND J. JENKINS. 1994. Population dynamics of the Bridled Tern Sterna anaethetus colony on Penguin Island, southwestern Australia. Corella 18:33-36."
citation78,Dunn 1975,"DUNN, E. H. 1975. Growth, body components, and energy content of nestling double-creasted cormorants. Condor 77: 431-438."
citation79,Dunn and Brisbin 1980,"DUNN, E. H., AND I. L. BRISBIN. 1980. Age-specific changes in major body components and caloric values of Herring Gull chicks. Condor 82: 398-401."
citation80,Dunne and Agro 1995,"DUNN, E. H., AND D. J. ARGO. 1995. Black Tern (Chlidonias niger). No. 147 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, and The American Ornithologists’ Union, Washington, D.C."
citation81,Dunnet et al 1963,"DUNNET, G. M., A. ANDERSON AND R. M. CORMACK. 1963. A study of the survival of adult Fulmars with observations on the pre-laying exodus. British Birds 56: 2-18."
citation82,Dunnet et al 1979,"DUNNET, G. M., J. C. OLLASON AND A. ANDERSON. 1979. A 28-year study of breeding fulmars Fulmars glacialis in Orkney. Ibis 21: 293-300."
citation83,Erwin 1995,"ERWIN, R. M. 1995. The ecology of cormorants: some research needs and recommendations. Colon. Waterbirds 18 (Spec. Publ. 1):240-246."
citation84,Evans 1990,"EVANS, R. M. 1990. Effects of low incubation temperatures during the pipped egg stage on hatchability and hatching times in domestic chickens and Ring-billed Gulls. Canadian Journal Zoology. 68: 836-840."
citation85,Evans and Knopf 1993,"EVANS, R. M., AND F. L. KNOPF. 1993. American White Pelican (Pelecanus erythrorhynchos). No. 57 in The Birds of North America (A. Poole and F. Gill, eds.) Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation86,Ewins 1993,"EWINS, P. J. 1993. Pigeon Guillemot (Cepphus columbia). No. 49 in The Birds of North America, (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation87,Ewins and Weseloh 1999,"EWINS, P. J., AND D. V. WESELOH. 1999. Little Gull (Larus minutus). No. 428 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation88,Fisher 1975,"FISHER, H. I. 1975. Mortality and survival in the Laysan Albatross Diomedea immutabilis. Pacific Science 29: 279-300."
citation89,Fleet 1974,"FLEET, R. R. 1974., The Red-tailed Tropicbird on Kure Atoll. A. O. U. Monographs 16: 1-64."
citation90,Floyd and Swanson 1983,"FLOYD, R. B., AND N. M. SWANSON. 1983. Wedge-tailed Shearwaters on Muttonbird Island: an estimate of the breeding success and the breeding population. Emu 82: 244-250."
citation91,Frederiksen and Bregnballe 2000,"FREDERIKSEN, M., AND T. BREGNBALLE. 2000. Evidence for density dependent survival in adult cormorants from a combined analysis of recoveries and resightings. Journal of Animal Ecology 69: 737-752."
citation92,Furness 1987,"FURNESS, R. W. 1987. The Skuas. Poyser, Calton, U.K."
citation93,Furness 1993,"FURNESS, R. W. 1993. Arctic Skua. Pp. 196-197 in The new atlas of breeding bird in Britian and Ireland: 1988-1991 (D. W. Gibbons, J. B. Reid, and R. A. Chapman, eds.) Poyser, Berhamstead. "
citation94,Gaston 1994,"GASTON, A. J. 1994. Ancient Murrelet (Synthliboramphus antiquus). No. 132 in The Birds of North America, (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation95,Gaston and Dechesne 1996,"GASTON, A. J., AND S. B. C. DECHESNE. 1996. Rhinoceros Auklet (Cerorhinca monocerata). No. 212 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, sand The American Ornithologists’ Union, Washington, D.C."
citation96,Gaston and Hipfner 2000,"GASTON, A .J., AND  J. M. HIPFNER. 2000. Thick-billed Murre (Uria lomvia). No.497  in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation97,Gaston and Jones 1998,"GASTON, A. J., AND I. L. JONES. 1998. The Auks. Oxford University Press, Oxford.  "
citation98,Gaston and Nettleship 1981,"GASTON, A. J., AND D. N. NETTLESHIP. 1981. The Thick-billed Murres of Prince Leopold Island. Can. Wildlife Service Monographs. No.6. Canadian Wildlife Service, Ottawa."
citation99,Gaston et al 1994,"GASTON, A.J., L.N. DE FOREST, G. DONALDSON, AND D.G. NOBLE. 1994. Population parameters of Thick-billed Murres at Coats Island, Northwest Territories, Canada. The Condor 96: 935-948."
citation100,Gaston et al 1988,"GASTON, A.J., I.L. JONES, AND D.G. NOBLE. 1988. Monitoring Ancient Murrelet breeding populations. Colonial Waterbirds 11: 58-66."
citation101,Gauger 1999,"GAUGER, V. H.. 1999. Black Noddy (Anous minutus). No. 412 in The Birds of North America, (A. Poole and F. Gill, eds.) The Birds of  North America, Inc., Philadelphia, PA."
citation102,Gochfeld and Burger 1996,"GOCHFELD, M., AND J. BURGER. 1996. Family Sternidae (terns). Pages 624-666 in Handbook of Birds of the World (J. del Hoyo, A. Elliott and J. Sargatal eds). Lynx Editions, Barcelona."
citation103,Gochfeld et al 1998,"GOCHFELD, M., J. BURGER AND I. C. T. NISBET. 1998. Roseate Tern (Sterna dougallii). No. 370 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
