iucnid,species_id,iucn_status,red_list_criteria,year_assessed,population_trend,population_estimate,population_range,population_uncertainty,population_location
372,Oceanites oceanicus,LC,,2012,stable,,,,
373,Oceanites oceanicus chilensis,LC,,2012,stable,,,,
374,Oceanites oceanicus exasperatus,LC,,2012,stable,,,,
375,Oceanites oceanicus oceanicus,LC,,2012,stable,,,,
376,Oceanites pincoyae,DD,,2014,unknown,,,,
377,Pelagodroma marina,LC,,2012,decreasing,,,,
378,Pedionomus torquatus,EN,C2a(ii),2012,decreasing,,,,
379,Pelecanus conspicillatus,LC,,2012,stable,,,,
380,Pelecanus crispus,VU,A2ce+3ce+4ce,2012,decreasing,,,,
381,Pelecanus erythrorhynchos,LC,,2012,increasing,,,,
382,Pelecanus occidentalis,LC,,2012,increasing,,,,
383,Pelecanus onocrotalus,LC,,2012,unknown,,,,
384,Pelecanus philippensis,NT,,2012,decreasing,,,,
385,Pelecanus rufescens,LC,,2012,stable,,,,
386,Pelecanus thagus,NT,,2012,increasing,,,,
387,Phaethon aethereus,LC,,2013,decreasing,,,,
388,Phaethon lepturus,LC,,2012,decreasing,,,,
389,Phaethon rubricauda,LC,,2013,stable,,,,
390,Microcarbo africanus,LC,,2012,decreasing,,,,
391,Microcarbo coronatus,NT,,2012,stable,,,,
392,Microcarbo melanoleucos,LC,,2012,unknown,,,,
393,Microcarbo niger,LC,,2012,unknown,,,,
394,Microcarbo pygmaeus,LC,,2012,increasing,,,,
395,Phalacrocorax bransfieldensis,LC,,2014,unknown,,,,
396,Phalacrocorax georgianus,LC,,2014,unknown,,,,
397,Phalacrocorax aristotelis,LC,,2012,decreasing,,,,
398,Phalacrocorax atriceps,LC,,2014,unknown,,,,
399,Phalacrocorax auritus,LC,,2012,increasing,,,,
400,Phalacrocorax bougainvilliorum,NT,,2014,decreasing,,,,
401,Phalacrocorax brasilianus,LC,,2012,increasing,,,,
402,Phalacrocorax campbelli,VU,D2,2012,stable,,,,
403,Phalacrocorax capensis,EN,A2bc+3bc+4bc,2013,decreasing,,,,
404,Phalacrocorax capillatus,LC,,2012,unknown,,,,
405,Phalacrocorax carbo,LC,,2012,increasing,,,,
406,Phalacrocorax carunculatus,VU,D1+2,2012,stable,,,,
407,Phalacrocorax chalconotus,VU,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v);C2a(i)",2012,decreasing,,,,
408,Phalacrocorax colensoi,VU,D2,2012,stable,,,,
409,Phalacrocorax featherstoni,EN,C1,2012,decreasing,,,,
410,Phalacrocorax fuscescens,LC,,2012,unknown,,,,
411,Phalacrocorax fuscicollis,LC,,2012,unknown,,,,
412,Phalacrocorax gaimardi,NT,,2012,decreasing,,,,
413,Phalacrocorax harrisi,VU,D2,2013,stable,,,,
414,Phalacrocorax magellanicus,LC,,2012,unknown,,,,
415,Phalacrocorax neglectus,EN,A2ace+3ce+4ace,2013,decreasing,,,,
416,Phalacrocorax nigrogularis,VU,"A2bce+3ce+4bce;B2ab(i,ii,iii,iv,v)",2012,decreasing,,,,
417,Phalacrocorax onslowi,CR,"B2ab(ii,iii,iv,v)",2012,decreasing,,,,
418,Phalacrocorax pelagicus,LC,,2012,decreasing,,,,
419,Phalacrocorax penicillatus,LC,,2012,decreasing,,,,
420,Phalacrocorax perspicillatus,EX,,2012,,,,,
421,Phalacrocorax punctatus,LC,,2012,unknown,,,,
422,Phalacrocorax ranfurlyi,VU,D1+2,2012,stable,,,,
423,Phalacrocorax sulcirostris,LC,,2012,unknown,,,,
424,Phalacrocorax urile,LC,,2012,decreasing,,,,
425,Phalacrocorax varius,LC,,2012,unknown,,,,
426,Phalacrocorax verrucosus,LC,,2014,unknown,,,,
427,Pluvianellus socialis,NT,,2012,stable,,,,
428,Pluvianus aegyptius,LC,,2012,decreasing,,,,
429,Aphrodroma brevirostris,LC,,2012,stable,,,,
430,Ardenna bulleri,VU,D2,2012,stable,,,,
431,Ardenna carneipes,LC,,2012,stable,,,,
432,Ardenna creatopus,VU,D2,2012,unknown,,,,
433,Ardenna gravis,LC,,2012,stable,,,,
434,Ardenna grisea,NT,,2012,decreasing,,,,
435,Ardenna pacifica,LC,,2012,decreasing,,,,
436,Ardenna tenuirostris,LC,,2012,decreasing,,,,
437,Bulweria bifax,EX,,2012,,,,,
438,Bulweria bulwerii,LC,,2012,stable,,,,
439,Bulweria fallax,NT,,2012,increasing,,,,
440,Calonectris borealis,LC,,2014,decreasing,,,,
441,Calonectris diomedea,LC,,2014,decreasing,,,,
442,Calonectris edwardsii,NT,,2012,decreasing,10000,,,
443,Calonectris leucomelas,LC,,2012,decreasing,,,,
444,Daption capense,LC,,2012,stable,,,,
445,Fulmarus glacialis,LC,,2012,increasing,,,,
446,Fulmarus glacialoides,LC,,2012,stable,,,,
447,Halobaena caerulea,LC,,2012,stable,,,,
448,Macronectes giganteus,LC,,2012,increasing,,,,
449,Macronectes halli,LC,,2012,increasing,,,,
450,Pachyptila belcheri,LC,,2012,stable,,,,
451,Pachyptila crassirostris,LC,,2012,stable,,,,
452,Pachyptila desolata,LC,,2012,decreasing,,,,
453,Pachyptila salvini,LC,,2012,stable,,,,
454,Pachyptila turtur,LC,,2012,stable,,,,
455,Pachyptila vittata,LC,,2012,decreasing,,,,
456,Pagodroma nivea,LC,,2012,stable,,,,
457,Pelecanoides garnotii,EN,"B2ab(iii,v)",2012,decreasing,,,,
458,Pelecanoides georgicus,LC,,2012,decreasing,,,,
459,Pelecanoides magellani,LC,,2012,decreasing,,,,
460,Pelecanoides urinatrix,LC,,2012,decreasing,,,,
461,Pelecanoides urinatrix exsul,LC,,2012,decreasing,,,,
462,Procellaria aequinoctialis,VU,A4bcde,2012,decreasing,,,,
463,Procellaria cinerea,NT,,2012,decreasing,,,,
464,Procellaria conspicillata,VU,D2,2013,increasing,,,,
465,Procellaria parkinsoni,VU,D2,2012,stable,,,,
466,Procellaria westlandica,VU,D2,2012,stable,,,,
467,Pseudobulweria aterrima,CR,C2a(ii),2013,decreasing,,,,
468,Pseudobulweria becki,CR,C2a(ii),2013,decreasing,2000,,?,
469,Pseudobulweria macgillivrayi,CR,"C2a(i,ii);D",2013,decreasing,,,,
470,Pseudobulweria rostrata,NT,,2012,decreasing,,,,
471,Pterdroma occulta,VU,,2012,increasing,,"[20,100]",,
472,Pterodroma alba,EN,A3bce+4bce,2012,decreasing,,,,
473,Pterodroma arminjoniana,VU,D2,2012,stable,,,,
474,Pterodroma atrata,EN,B2ab(v),2012,decreasing,,,,
475,Pterodroma axillaris,EN,A2bde+4bde,2013,increasing,,,,
476,Pterodroma baraui,EN,"B2ab(iii,v)",2012,decreasing,,,,
477,Pterodroma brevipes,VU,C2a(i);D1,2012,decreasing,,,,
478,Pterodroma cahow,EN,D,2012,increasing,,,,
479,Pterodroma caribbaea,CR,D,2013,unknown,,,,
480,Pterodroma cervicalis,VU,D2,2012,increasing,,,,
481,Pterodroma cookii,VU,A2e;D2,2012,increasing,300000,,+,
482,Pterodroma defilippiana,VU,D2,2012,stable,,,,
483,Pterodroma deserta,VU,D1+2,2014,stable,,,,
484,Pterodroma externa,VU,D2,2012,stable,,,,
485,Pterodroma feae,NT,,2014,increasing,,,,
486,Pterodroma gouldi,LC,,2014,decreasing,,,,
487,Pterodroma hasitata,EN,"B2ab(i,ii,iii,iv,v)",2012,decreasing,100,,?,Haiti
488,Pterodroma heraldica,LC,,2012,decreasing,,,,
489,Pterodroma hypoleuca,LC,,2012,decreasing,,,,
490,Pterodroma incerta,EN,B2ab(v),2012,decreasing,,,,
491,Pterodroma inexpectata,NT,,2014,decreasing,,,,
492,Pterodroma lessonii,LC,,2012,decreasing,,,,
493,Pterodroma leucoptera,VU,B2ab(v);D2,2012,decreasing,,,,
494,Pterodroma longirostris,VU,D2,2012,stable,,,,
495,Pterodroma macroptera,LC,,2014,decreasing,,,,
496,Pterodroma madeira,EN,D,2012,stable,,,,
497,Pterodroma magentae,CR,A2ce,2012,increasing,,,,
498,Pterodroma mollis,LC,,2012,stable,,,,
499,Pterodroma neglecta,LC,,2012,decreasing,,,,
500,Pterodroma nigripennis,LC,,2012,decreasing,,,,
501,Pterodroma phaeopygia,CR,A2bce,2013,decreasing,,,,
502,Pterodroma pycrofti,VU,D2,2012,increasing,,,,
503,Pterodroma rupinarum,EX,,2012,,,,,
504,Pterodroma sandwichensis,VU,"B2ab(iv,v)",2012,decreasing,,,,
505,Pterodroma solandri,VU,D2,2012,increasing,,,,
506,Pterodroma ultima,NT,,2012,decreasing,,,,
507,Puffinus assimilis,LC,,2014,decreasing,,,,
508,Puffinus auricularis,CR,"B2ab(i,ii,iii,v)",2013,decreasing,,,,
509,Puffinus bailloni,LC,,2014,stable,,,,
510,Puffinus bannermani,EN,B2ab(v),2014,decreasing,,,,
511,Puffinus bryani,CR,"C2a(i,ii)",2014,decreasing,,,,
512,Puffinus elegans,LC,,2014,decreasing,,,,
513,Puffinus gavia,LC,,2012,decreasing,,,,
514,Puffinus heinrothi,VU,D1+2,2013,stable,,,,
515,Puffinus huttoni,EN,"B2ab(ii,iii)",2012,stable,106000,,,
516,Puffinus lherminieri,LC,,2014,decreasing,,,,
517,Puffinus mauretanicus,CR,A4bcde,2013,decreasing,,,,
518,Puffinus nativitatis,LC,,2012,stable,,,,
519,Puffinus newelli,EN,A2bce+3bce+4bce,2013,decreasing,,,,
520,Puffinus opisthomelas,NT,,2012,unknown,,,,
521,Puffinus persicus,LC,,2014,decreasing,,,,
522,Puffinus puffinus,LC,,2012,decreasing,,,,
523,Puffinus subalaris,LC,,2014,decreasing,,,,
524,Puffinus yelkouan,VU,A4bcde,2012,decreasing,,,,
525,Thalassoica antarctica,LC,,2012,stable,,,,
526,Cladorhynchus leucocephalus,LC,,2012,stable,,,,
527,Himantopus himantopus,LC,,2014,increasing,,,,
528,Himantopus novaezelandiae,CR,D,2013,increasing,,,,
529,Recurvirostra americana,LC,,2012,stable,,,,
530,Recurvirostra andina,LC,,2012,unknown,,,,
531,Recurvirostra avosetta,LC,,2012,unknown,,,,
532,Recurvirostra novaehollandiae,LC,,2012,stable,,,,
533,Nycticryphes semicollaris,LC,,2012,decreasing,,,,
534,Rostratula australis,EN,C2a(ii),2012,decreasing,,,,
535,Rostratula benghalensis,LC,,2012,decreasing,,,,
536,Actitis hypoleucos,LC,,2012,decreasing,,,,
537,Actitis macularius,LC,,2012,decreasing,,,,
538,Arenaria interpres,LC,,2012,decreasing,,,,
539,Arenaria melanocephala,LC,,2012,stable,,,,
540,Bartramia longicauda,LC,,2012,increasing,,,,
541,Calidris acuminata,LC,,2012,stable,,,,
542,Calidris alba,LC,,2012,unknown,,,,
543,Calidris alpina,LC,,2012,decreasing,,,,
544,Calidris bairdii,LC,,2012,stable,,,,
545,Calidris canutus,LC,,2012,decreasing,,,,
546,Calidris falcinellus,LC,,2012,decreasing,,,,
547,Calidris ferruginea,LC,,2012,increasing,,,,
548,Calidris fuscicollis,LC,,2012,decreasing,,,,
549,Calidris himantopus,LC,,2012,increasing,,,,
550,Calidris maritima,LC,,2012,decreasing,,,,
551,Calidris mauri,LC,,2012,decreasing,,,,
552,Calidris melanotos,LC,,2012,stable,,,,
553,Calidris minuta,LC,,2012,decreasing,,,,
554,Calidris minutilla,LC,,2012,decreasing,,,,
555,Calidris ptilocnemis,LC,,2012,decreasing,,,,
556,Calidris pugnax,LC,,2012,decreasing,,,,
557,Calidris pusilla,NT,,2012,decreasing,,,,
558,Calidris pygmaea,CR,A2abcd+3bcd+4abcd; C2a(i),2013,decreasing,,,,
559,Calidris ruficollis,LC,,2012,unknown,,,,
560,Calidris subminuta,LC,,2012,unknown,,,,
561,Calidris subruficollis,NT,,2012,decreasing,,,,
562,Calidris temminckii,LC,,2012,unknown,,,,
563,Calidris tenuirostris,VU,A4bcd,2012,decreasing,,,,
564,Calidris virgata,LC,,2012,decreasing,,,,
565,Coenocorypha aucklandica,NT,,2014,increasing,,,,
566,Coenocorypha barrierensis,EX,,2014,,,,,
567,Coenocorypha huegeli,NT,,2014,increasing,,,,
568,Coenocorypha iredalei,EX,,2014,,,,,
569,Coenocorypha pusilla,VU,D2,2013,stable,,,,
570,Gallinago andina,LC,,2012,stable,,,,
571,Gallinago delicata,LC,,2014,decreasing,,,,
572,Gallinago gallinago,LC,,2014,decreasing,,,,
573,Gallinago hardwickii,LC,,2012,decreasing,,,,
574,Gallinago imperialis,NT,,2012,decreasing,,,,
575,Gallinago jamesoni,LC,,2012,unknown,,,,
576,Gallinago macrodactyla,VU,C2a(ii),2012,decreasing,,,,
577,Gallinago media,NT,,2012,decreasing,,,,
578,Gallinago megala,LC,,2012,unknown,,,,
579,Gallinago nemoricola,VU,C2a(ii),2012,decreasing,,,,
580,Gallinago nigripennis,LC,,2012,unknown,,,,
581,Gallinago nobilis,NT,,2012,decreasing,,,,
582,Gallinago paraguaiae,LC,,2012,stable,,,,
583,Gallinago solitaria,LC,,2012,stable,,,,
584,Gallinago stenura,LC,,2012,unknown,,,,
585,Gallinago stricklandii,NT,,2012,decreasing,,,,
586,Gallinago undulata,LC,,2012,decreasing,,,,
587,Limnodromus griseus,LC,,2012,decreasing,,,,
588,Limnodromus scolopaceus,LC,,2012,unknown,,,,
589,Limnodromus semipalmatus,NT,,2012,decreasing,,,,
590,Limosa fedoa,LC,,2012,decreasing,,,,
591,Limosa haemastica,LC,,2012,decreasing,,,,
592,Limosa lapponica,LC,,2012,decreasing,,,,
593,Limosa limosa,NT,,2012,decreasing,,,,
594,Lymnocryptes minimus,LC,,2012,stable,,,,
595,Numenius americanus,LC,,2012,decreasing,,,,
596,Numenius arquata,NT,,2012,decreasing,,,,
597,Numenius borealis,CR,D,2013,unknown,,,,
598,Numenius madagascariensis,VU,A4bcd,2012,decreasing,,,,
599,Numenius minutus,LC,,2012,stable,,,,
600,Numenius phaeopus,LC,,2012,decreasing,,,,
601,Numenius tahitiensis,VU,C2a(ii),2012,decreasing,,,,
602,Numenius tenuirostris,CR,"C2a(i,ii);D",2012,decreasing,,,,
603,Phalaropus fulicarius,LC,,2012,decreasing,,,,
604,Phalaropus lobatus,LC,,2012,decreasing,,,,
605,Prosobonia cancellata,EX,,2014,,,,,
606,Prosobonia ellisi,EX,,2012,,,,,
607,Prosobonia leucoptera,EX,,2012,,,,,
608,Prosobonia parvirostris,EN,"B1ab(ii,iii,iv,v)",2014,decreasing,,,,
609,Scolopax bukidnonensis,LC,,2012,unknown,,,,
610,Scolopax celebensis,NT,,2012,decreasing,,,,
611,Scolopax minor,LC,,2012,decreasing,,,,
612,Scolopax mira,VU,A3ce+4ce,2012,stable,,,,
613,Scolopax rochussenii,EN,"B1ab(ii,iii,v)",2012,decreasing,,,,
614,Scolopax rosenbergii,LC,,2012,stable,,,,
615,Scolopax rusticola,LC,,2014,stable,,,,
616,Scolopax saturata,NT,,2013,decreasing,,,,
617,Steganopus tricolor,LC,,2012,increasing,,,,
618,Tringa brevipes,NT,,2014,decreasing,,,,
619,Tringa erythropus,LC,,2012,stable,,,,
620,Tringa flavipes,LC,,2014,decreasing,,,,
621,Tringa glareola,LC,,2012,stable,,,,
622,Tringa guttifer,EN,C2a(i),2012,decreasing,,,,
623,Tringa incana,LC,,2012,stable,,,,
624,Tringa melanoleuca,LC,,2012,stable,,,,
625,Tringa nebularia,LC,,2012,stable,,,,
626,Tringa ochropus,LC,,2012,stable,,,,
627,Tringa semipalmata,LC,,2012,stable,,,,
628,Tringa solitaria,LC,,2012,stable,,,,
629,Tringa stagnatilis,LC,,2012,decreasing,,,,
630,Tringa totanus,LC,,2013,unknown,,,,
631,Xenus cinereus,LC,,2012,stable,,,,
632,Scopus umbretta,LC,,2012,stable,,,,
633,Aptenodytes forsteri,NT,,2012,stable,,,,
634,Aptenodytes patagonicus,LC,,2012,increasing,,,,
635,Eudyptes chrysocome,VU,A2abcde+3bcde+4abcde,2012,decreasing,,,,
636,Eudyptes chrysolophus,VU,A2bce+3bce+4bce,2013,decreasing,,,,
637,Eudyptes moseleyi,EN,A2acde+3cde+4acde,2012,decreasing,,,,
638,Eudyptes pachyrhynchus,VU,A2be+3bce+4bce;C1+2a(i),2012,decreasing,,,,
639,Eudyptes robustus,VU,D2,2012,stable,,,,
640,Eudyptes schlegeli,VU,D2,2012,stable,,,,
641,Eudyptes sclateri,EN,"A2b;B2ab(i,ii,iv,v)",2012,decreasing,,,,
642,Eudyptula minor,LC,,2012,decreasing,,,,
643,Megadyptes antipodes,EN,"B2b(iii,v)c(iv)",2012,decreasing,,,,
644,Pygoscelis adeliae,NT,,2012,increasing,,,,
645,Pygoscelis antarcticus,LC,,2012,increasing,,,,
646,Pygoscelis papua,NT,,2012,decreasing,,,,
647,Spheniscus demersus,EN,A2ace+3ce+4ace,2013,decreasing,,,,
648,Spheniscus humboldti,VU,A2bcde+3bcde+4bcde;C1+2b,2013,decreasing,,,,
649,Spheniscus magellanicus,NT,,2012,decreasing,,,,
650,Spheniscus mendiculus,EN,A2bde;B1ab(v)c(iv)+2ab(v)c(iv);C2a(ii)b,2012,decreasing,,,,
651,Catharacta antarctica,LC,,2014,stable,,,,
652,Catharacta chilensis,LC,,2012,stable,,,,
653,Catharacta maccormicki,LC,,2012,stable,,,,
654,Catharacta skua,LC,,2012,stable,13600,,,
655,Stercorarius longicaudus,LC,,2012,stable,,,,
656,Stercorarius parasiticus,LC,,2012,stable,,,,
657,Stercorarius pomarinus,LC,,2012,stable,,,,
658,Morus bassanus,LC,,2012,increasing,,,,
659,Morus capensis,VU,"A2acde+3cde+4acde; B2ab(iii,iv,v)",2012,decreasing,,,,
660,Morus serrator,LC,,2012,increasing,,,,
661,Papasula abbotti,EN,"B2ab(ii,iii,v)",2012,decreasing,,,,
662,Sula dactylatra,LC,,2012,decreasing,,,,
663,Sula granti,LC,,2012,decreasing,,,,
664,Sula leucogaster,LC,,2012,decreasing,,,,
665,Sula nebouxii,LC,,2012,stable,,,,
666,Sula sula,LC,,2012,decreasing,,,,
667,Sula variegata,LC,,2012,stable,,,,
668,Attagis gayi,LC,,2012,stable,,,,
669,Attagis malouinus,LC,,2012,stable,,,,
670,Thinocorus orbignyianus,LC,,2012,stable,,,,
671,Thinocorus rumicivorus,LC,,2012,stable,,,,
672,Bostrychia bocagei,CR,C2a(ii),2013,decreasing,,,,
673,Bostrychia carunculata,LC,,2012,unknown,,,,
674,Bostrychia hagedash,LC,,2012,increasing,,,,
675,Bostrychia olivacea,LC,,2012,decreasing,,,,
676,Bostrychia rara,LC,,2012,stable,,,,
677,Cercibis oxycerca,LC,,2012,stable,,,,
678,Eudocimus albus,LC,,2012,stable,,,,
679,Eudocimus ruber,LC,,2012,decreasing,,,,
680,Geronticus calvus,VU,A3c+4c;C2a(ii),2013,decreasing,,,,
681,Geronticus eremita,CR,C2a(ii),2013,decreasing,,,,
682,Lophotibis cristata,NT,,2012,decreasing,,,,
683,Mesembrinibis cayennensis,LC,,2012,decreasing,,,,
684,Nipponia nippon,EN,B1ab(iii),2013,increasing,,,,
685,Phimosus infuscatus,LC,,2012,stable,,,,
686,Platalea ajaja,LC,,2012,stable,,,,
687,Platalea alba,LC,,2012,stable,,,,
688,Platalea flavipes,LC,,2012,stable,,,,
689,Platalea leucorodia,LC,,2012,unknown,,,,
690,Platalea minor,EN,C2a(ii),2014,stable,,,,
691,Platalea regia,LC,,2012,stable,,,,
692,Plegadis chihi,LC,,2012,increasing,,,,
693,Plegadis falcinellus,LC,,2012,decreasing,,,,
694,Plegadis ridgwayi,LC,,2012,decreasing,,,,
695,Pseudibis davisoni,CR,A3cd+4cd,2013,decreasing,,,,
696,Pseudibis papillosa,LC,,2012,decreasing,,,,
697,Thaumatibis gigantea,CR,A2cd+3cd+4cd;C2a(i),2013,decreasing,,,,
698,Theristicus branickii,NT,,2014,decreasing,,,,
699,Theristicus caerulescens,LC,,2012,stable,,,,
700,Theristicus caudatus,LC,,2012,stable,,,,
701,Theristicus melanopis,LC,,2014,stable,,,,
702,Threskiornis aethiopicus,LC,,2012,decreasing,,,,
703,Threskiornis bernieri,EN,C1,2013,decreasing,,,,
704,Threskiornis melanocephalus,NT,,2012,decreasing,,,,
705,Threskiornis moluccus,LC,,2012,stable,,,,
706,Threskiornis solitarius,EX,,2012,,,,,
707,Threskiornis spinicollis,LC,,2012,stable,,,,
708,Ortyxelos meiffrenii,LC,,2012,unknown,,,,
709,Turnix castanotus,LC,,2012,stable,,,,
710,Turnix everetti,VU,"B1ab(iii,iv,v);C2a(ii)",2012,decreasing,,,,
711,Turnix hottentottus,EN,C2a(i),2014,decreasing,,,,
712,Turnix maculosus,LC,,2012,decreasing,,,,
713,Turnix melanogaster,NT,,2012,decreasing,,,,
714,Turnix nanus,LC,,2014,decreasing,,,,
715,Turnix nigricollis,LC,,2012,stable,,,,
716,Turnix novaecaledoniae,CR,D,2014,unknown,,,,
717,Turnix ocellatus,LC,,2012,unknown,,,,
718,Turnix olivii,EN,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v);C2a(ii)",2012,decreasing,,,,
719,Turnix pyrrhothorax,LC,,2012,decreasing,,,,
720,Turnix suscitator,LC,,2012,increasing,,,,
721,Turnix sylvaticus,LC,,2012,decreasing,,,,
722,Turnix tanki,LC,,2012,stable,,,,
723,Turnix varius,LC,,2014,decreasing,,,,
724,Turnix velox,LC,,2012,decreasing,,,,
725,Turnix worcesteri,DD,,2012,unknown,,,,
