nlid,species_id,nest_location_id,nest_location,cite_id,username,dt
1,Aethia cristatella,1,Cr,citation311,grant,7/17/2016
2,Aethia psittacula,1,O,citation311,grant,7/17/2016
3,Aethia pusilla,1,Cr,citation311,grant,7/17/2016
4,Aethia pygmaea,1,Cr,citation311,grant,7/17/2016
5,Alca torda,1,Cr,citation311,grant,7/17/2016
6,Alca torda,2,Cl,citation311,grant,7/17/2016
7,Alle alle,1,Cl,citation311,grant,7/17/2016
8,Alle alle,2,Cr,citation311,grant,7/17/2016
9,Brachyramphus brevirostris,1,O,citation311,grant,7/17/2016
10,Brachyramphus marmoratus,1,T,citation311,grant,7/17/2016
11,Brachyramphus perdix,1,T,citation311,grant,7/17/2016
12,Cepphus carbo,1,unknown,citation311,grant,7/17/2016
13,Cepphus columba,1,Cr,citation311,grant,7/17/2016
14,Cepphus columba,2,Bu,citation311,grant,7/17/2016
15,Cepphus grylle,1,Bu,citation311,grant,7/17/2016
16,Cepphus grylle,2,O,citation311,grant,7/17/2016
17,Cerorhinca monocerata,1,Bu,citation311,grant,7/17/2016
18,Fratercula arctica,1,Bu,citation311,grant,7/17/2016
19,Fratercula cirrhata,1,Bu,citation311,grant,7/17/2016
20,Fratercula corniculata,1,Bu,citation311,grant,7/17/2016
21,Pinguinus impennis,1,O,citation311,grant,7/17/2016
22,Ptychoramphus aleuticus,1,Bu,citation311,grant,7/17/2016
23,Ptychoramphus aleuticus,2,Cr,citation311,grant,7/17/2016
24,Synthliboramphus antiquus,1,Bu,citation311,grant,7/17/2016
25,Synthliboramphus antiquus,2,O,citation311,grant,7/17/2016
26,Synthliboramphus craveri,1,Cr,citation311,grant,7/17/2016
27,Synthliboramphus hypoleucus,1,Cr,citation311,grant,7/17/2016
28,Synthliboramphus scrippsi,1,unknown,citation311,grant,7/17/2016
29,Synthliboramphus wumizusume,1,Cr,citation311,grant,7/17/2016
30,Synthliboramphus wumizusume,2,Bu,citation311,grant,7/17/2016
31,Uria aalge,1,Cl,citation311,grant,7/17/2016
32,Uria lomvia,1,Cl,citation311,grant,7/17/2016
33,Uria lomvia,2,Cr,citation311,grant,7/17/2016
34,Anhinga anhinga,1,unknown,citation311,grant,7/17/2016
35,Anhinga melanogaster,1,unknown,citation311,grant,7/17/2016
36,Anhinga novaehollandiae,1,unknown,citation311,grant,7/17/2016
37,Anhinga rufa,1,unknown,citation311,grant,7/17/2016
38,Agamia agami,1,unknown,citation311,grant,7/17/2016
39,Ardea alba,1,unknown,citation311,grant,7/17/2016
40,Ardea brachyrhyncha,1,unknown,citation311,grant,7/17/2016
41,Ardea cinerea,1,unknown,citation311,grant,7/17/2016
42,Ardea cocoi,1,unknown,citation311,grant,7/17/2016
43,Ardea goliath,1,unknown,citation311,grant,7/17/2016
44,Ardea herodias,1,unknown,citation311,grant,7/17/2016
45,Ardea humbloti,1,unknown,citation311,grant,7/17/2016
46,Ardea insignis,1,unknown,citation311,grant,7/17/2016
47,Ardea intermedia,1,unknown,citation311,grant,7/17/2016
48,Ardea melanocephala,1,unknown,citation311,grant,7/17/2016
49,Ardea pacifica,1,unknown,citation311,grant,7/17/2016
50,Ardea plumifera,1,unknown,citation311,grant,7/17/2016
51,Ardea purpurea,1,unknown,citation311,grant,7/17/2016
52,Ardea sumatrana,1,unknown,citation311,grant,7/17/2016
53,Ardeola bacchus,1,unknown,citation311,grant,7/17/2016
54,Ardeola grayii,1,unknown,citation311,grant,7/17/2016
55,Ardeola idae,1,unknown,citation311,grant,7/17/2016
56,Ardeola ralloides,1,unknown,citation311,grant,7/17/2016
57,Ardeola rufiventris,1,unknown,citation311,grant,7/17/2016
58,Ardeola speciosa,1,unknown,citation311,grant,7/17/2016
59,Botaurus lentiginosus,1,unknown,citation311,grant,7/17/2016
60,Botaurus pinnatus,1,unknown,citation311,grant,7/17/2016
61,Botaurus poiciloptilus,1,unknown,citation311,grant,7/17/2016
62,Botaurus stellaris,1,unknown,citation311,grant,7/17/2016
63,Bubulcus ibis,1,unknown,citation311,grant,7/17/2016
64,Butorides striata,1,unknown,citation311,grant,7/17/2016
65,Calherodius leuconotus,1,unknown,citation311,grant,7/17/2016
66,Cochlearius cochlearius,1,unknown,citation311,grant,7/17/2016
67,Egretta ardesiaca,1,unknown,citation311,grant,7/17/2016
68,Egretta caerulea,1,unknown,citation311,grant,7/17/2016
69,Egretta eulophotes,1,unknown,citation311,grant,7/17/2016
70,Egretta garzetta,1,unknown,citation311,grant,7/17/2016
71,Egretta gularis,1,unknown,citation311,grant,7/17/2016
72,Egretta novaehollandiae,1,unknown,citation311,grant,7/17/2016
73,Egretta picata,1,unknown,citation311,grant,7/17/2016
74,Egretta rufescens,1,unknown,citation311,grant,7/17/2016
75,Egretta sacra,1,unknown,citation311,grant,7/17/2016
76,Egretta thula,1,unknown,citation311,grant,7/17/2016
77,Egretta tricolor,1,unknown,citation311,grant,7/17/2016
78,Egretta vinaceigula,1,unknown,citation311,grant,7/17/2016
79,Gorsachius goisagi,1,unknown,citation311,grant,7/17/2016
80,Gorsachius magnificus,1,unknown,citation311,grant,7/17/2016
81,Gorsachius melanolophus,1,unknown,citation311,grant,7/17/2016
82,Ixobrychus cinnamomeus,1,unknown,citation311,grant,7/17/2016
83,Ixobrychus dubius,1,unknown,citation311,grant,7/17/2016
84,Ixobrychus eurhythmus,1,unknown,citation311,grant,7/17/2016
85,Ixobrychus exilis,1,unknown,citation311,grant,7/17/2016
86,Ixobrychus flavicollis,1,unknown,citation311,grant,7/17/2016
87,Ixobrychus involucris,1,unknown,citation311,grant,7/17/2016
88,Ixobrychus minutus,1,unknown,citation311,grant,7/17/2016
89,Ixobrychus novaezelandiae,1,unknown,citation311,grant,7/17/2016
90,Ixobrychus sinensis,1,unknown,citation311,grant,7/17/2016
91,Ixobrychus sturmii,1,unknown,citation311,grant,7/17/2016
92,Nyctanassa carcinocatactes,1,unknown,citation311,grant,7/17/2016
93,Nyctanassa violacea,1,unknown,citation311,grant,7/17/2016
94,Nycticorax caledonicus,1,unknown,citation311,grant,7/17/2016
95,Nycticorax duboisi,1,unknown,citation311,grant,7/17/2016
96,Nycticorax mauritianus,1,unknown,citation311,grant,7/17/2016
97,Nycticorax megacephalus,1,unknown,citation311,grant,7/17/2016
98,Nycticorax nycticorax,1,unknown,citation311,grant,7/17/2016
99,Pilherodius pileatus,1,unknown,citation311,grant,7/17/2016
100,Syrigma sibilatrix,1,unknown,citation311,grant,7/17/2016
101,Tigriornis leucolopha,1,unknown,citation311,grant,7/17/2016
102,Tigrisoma fasciatum,1,unknown,citation311,grant,7/17/2016
103,Tigrisoma lineatum,1,unknown,citation311,grant,7/17/2016
104,Tigrisoma mexicanum,1,unknown,citation311,grant,7/17/2016
105,Zebrilus undulatus,1,unknown,citation311,grant,7/17/2016
106,Zonerodius heliosylus,1,unknown,citation311,grant,7/17/2016
107,Balaeniceps rex,1,unknown,citation311,grant,7/17/2016
108,Burhinus bistriatus,1,unknown,citation311,grant,7/17/2016
109,Burhinus capensis,1,unknown,citation311,grant,7/17/2016
110,Burhinus grallarius,1,unknown,citation311,grant,7/17/2016
111,Burhinus indicus,1,unknown,citation311,grant,7/17/2016
112,Burhinus oedicnemus,1,unknown,citation311,grant,7/17/2016
113,Burhinus senegalensis,1,unknown,citation311,grant,7/17/2016
114,Burhinus superciliaris,1,unknown,citation311,grant,7/17/2016
115,Burhinus vermiculatus,1,unknown,citation311,grant,7/17/2016
116,Esacus magnirostris,1,unknown,citation311,grant,7/17/2016
117,Esacus recurvirostris,1,unknown,citation311,grant,7/17/2016
118,Anarhynchus frontalis,1,unknown,citation311,grant,7/17/2016
119,Charadrius alexandrinus,1,unknown,citation311,grant,7/17/2016
120,Charadrius alticola,1,unknown,citation311,grant,7/17/2016
121,Charadrius aquilonius,1,unknown,citation311,grant,7/17/2016
122,Charadrius asiaticus,1,unknown,citation311,grant,7/17/2016
123,Charadrius bicinctus,1,unknown,citation311,grant,7/17/2016
124,Charadrius bifrontatus,1,unknown,citation311,grant,7/17/2016
125,Charadrius collaris,1,unknown,citation311,grant,7/17/2016
126,Charadrius dealbatus,1,unknown,citation311,grant,7/17/2016
127,Charadrius dubius,1,unknown,citation311,grant,7/17/2016
128,Charadrius falklandicus,1,unknown,citation311,grant,7/17/2016
129,Charadrius forbesi,1,unknown,citation311,grant,7/17/2016
130,Charadrius hiaticula,1,unknown,citation311,grant,7/17/2016
131,Charadrius javanicus,1,unknown,citation311,grant,7/17/2016
132,Charadrius leschenaultii,1,unknown,citation311,grant,7/17/2016
133,Charadrius marginatus,1,unknown,citation311,grant,7/17/2016
134,Charadrius melodus,1,unknown,citation311,grant,7/17/2016
135,Charadrius modestus,1,unknown,citation311,grant,7/17/2016
136,Charadrius mongolus,1,unknown,citation311,grant,7/17/2016
137,Charadrius montanus,1,unknown,citation311,grant,7/17/2016
138,Charadrius nivosus,1,unknown,citation311,grant,7/17/2016
139,Charadrius obscurus,1,unknown,citation311,grant,7/17/2016
140,Charadrius pallidus,1,unknown,citation311,grant,7/17/2016
141,Charadrius pecuarius,1,unknown,citation311,grant,7/17/2016
142,Charadrius peronii,1,unknown,citation311,grant,7/17/2016
143,Charadrius placidus,1,unknown,citation311,grant,7/17/2016
144,Charadrius ruficapillus,1,unknown,citation311,grant,7/17/2016
145,Charadrius sanctaehelenae,1,unknown,citation311,grant,7/17/2016
146,Charadrius semipalmatus,1,unknown,citation311,grant,7/17/2016
147,Charadrius thoracicus,1,unknown,citation311,grant,7/17/2016
148,Charadrius tricollaris,1,unknown,citation311,grant,7/17/2016
149,Charadrius veredus,1,unknown,citation311,grant,7/17/2016
150,Charadrius vociferus,1,unknown,citation311,grant,7/17/2016
151,Charadrius wilsonia,1,unknown,citation311,grant,7/17/2016
152,Elseyornis melanops,1,unknown,citation311,grant,7/17/2016
153,Erythrogonys cinctus,1,unknown,citation311,grant,7/17/2016
154,Eudromias morinellus,1,unknown,citation311,grant,7/17/2016
155,Hoploxypterus cayanus,1,unknown,citation311,grant,7/17/2016
156,Oreopholus ruficollis,1,unknown,citation311,grant,7/17/2016
157,Peltohyas australis,1,unknown,citation311,grant,7/17/2016
158,Phegornis mitchellii,1,unknown,citation311,grant,7/17/2016
159,Pluvialis apricaria,1,unknown,citation311,grant,7/17/2016
160,Pluvialis dominica,1,unknown,citation311,grant,7/17/2016
161,Pluvialis fulva,1,unknown,citation311,grant,7/17/2016
162,Pluvialis squatarola,1,unknown,citation311,grant,7/17/2016
163,Thinornis cucullatus,1,unknown,citation311,grant,7/17/2016
164,Thinornis novaeseelandiae,1,unknown,citation311,grant,7/17/2016
165,Vanellus albiceps,1,unknown,citation311,grant,7/17/2016
166,Vanellus armatus,1,unknown,citation311,grant,7/17/2016
167,Vanellus chilensis,1,unknown,citation311,grant,7/17/2016
168,Vanellus cinereus,1,unknown,citation311,grant,7/17/2016
169,Vanellus coronatus,1,unknown,citation311,grant,7/17/2016
170,Vanellus crassirostris,1,unknown,citation311,grant,7/17/2016
171,Vanellus duvaucelii,1,unknown,citation311,grant,7/17/2016
172,Vanellus gregarius,1,unknown,citation311,grant,7/17/2016
173,Vanellus indicus,1,unknown,citation311,grant,7/17/2016
174,Vanellus leucurus,1,unknown,citation311,grant,7/17/2016
175,Vanellus lugubris,1,unknown,citation311,grant,7/17/2016
176,Vanellus macropterus,1,unknown,citation311,grant,7/17/2016
177,Vanellus malarbaricus,1,unknown,citation311,grant,7/17/2016
178,Vanellus melanocephalus,1,unknown,citation311,grant,7/17/2016
179,Vanellus melanopterus,1,unknown,citation311,grant,7/17/2016
180,Vanellus miles,1,unknown,citation311,grant,7/17/2016
181,Vanellus novaehollandiae,1,unknown,citation311,grant,7/17/2016
182,Vanellus resplendens,1,unknown,citation311,grant,7/17/2016
183,Vanellus senegallus,1,unknown,citation311,grant,7/17/2016
184,Vanellus spinosus,1,unknown,citation311,grant,7/17/2016
185,Vanellus superciliosus,1,unknown,citation311,grant,7/17/2016
186,Vanellus tectus,1,unknown,citation311,grant,7/17/2016
187,Vanellus tricolor,1,unknown,citation311,grant,7/17/2016
188,Vanellus vanellus,1,unknown,citation311,grant,7/17/2016
189,Chionis albus,1,unknown,citation311,grant,7/17/2016
190,Chionis minor,1,unknown,citation311,grant,7/17/2016
191,Diomedea amsterdamensis,1,O,citation311,grant,7/17/2016
192,Diomedea antipodensis,1,O,citation311,grant,7/17/2016
193,Diomedea dabbenena,1,O,citation311,grant,7/17/2016
194,Diomedea epomophora,1,O,citation311,grant,7/17/2016
195,Diomedea epomophora,2,Sl,citation311,grant,7/17/2016
196,Diomedea exulans,1,O,citation311,grant,7/17/2016
197,Diomedea sanfordi,1,O,citation311,grant,7/17/2016
198,Phoebastria albatrus,1,O,citation311,grant,7/17/2016
199,Phoebastria albatrus,2,Sl,citation311,grant,7/17/2016
200,Phoebastria immutabilis,1,O,citation311,grant,7/17/2016
201,Phoebastria irrorata,1,O,citation311,grant,7/17/2016
202,Phoebastria irrorata,2,Sl,citation311,grant,7/17/2016
203,Phoebastria nigripes,1,O,citation311,grant,7/17/2016
204,Phoebetria fusca,1,Cl,citation311,grant,7/17/2016
205,Phoebetria fusca,2,Sl,citation311,grant,7/17/2016
206,Phoebetria palpebrata,1,O,citation311,grant,7/17/2016
207,Phoebetria palpebrata,2,Cl,citation311,grant,7/17/2016
208,Phoebetria palpebrata,3,Sl,citation311,grant,7/17/2016
209,Thalassarche bulleri,1,O,citation311,grant,7/17/2016
210,Thalassarche bulleri,2,Sl,citation311,grant,7/17/2016
211,Thalassarche carteri,1,O,citation311,grant,7/17/2016
212,Thalassarche carteri,2,Sl,citation311,grant,7/17/2016
213,Thalassarche cauta,1,O,citation311,grant,7/17/2016
214,Thalassarche cauta,2,Sl,citation311,grant,7/17/2016
215,Thalassarche cauta,3,Cl,citation311,grant,7/17/2016
216,Thalassarche chlororhynchos,1,O,citation311,grant,7/17/2016
217,Thalassarche chlororhynchos,2,Cl,citation311,grant,7/17/2016
218,Thalassarche chlororhynchos,3,Sl,citation311,grant,7/17/2016
219,Thalassarche chrysostoma,1,O,citation311,grant,7/17/2016
220,Thalassarche eremita,1,unknown,citation311,grant,7/17/2016
221,Thalassarche impavida,1,unknown,citation311,grant,7/17/2016
222,Thalassarche melanophris,1,O,citation311,grant,7/17/2016
223,Thalassarche melanophris,2,Sl,citation311,grant,7/17/2016
224,Thalassarche salvini,1,unknown,citation311,grant,7/17/2016
225,Thalassarche steadi,1,unknown,citation311,grant,7/17/2016
226,Dromas ardeola,1,unknown,citation311,grant,7/17/2016
227,Fregata andrewsi,1,T,citation311,grant,7/17/2016
228,Fregata aquila,1,O,citation311,grant,7/17/2016
229,Fregata ariel,1,T,citation311,grant,7/17/2016
230,Fregata magnificens,1,T,citation311,grant,7/17/2016
231,Fregata minor,1,T,citation311,grant,7/17/2016
232,Cursorius coromandelicus,1,unknown,citation311,grant,7/17/2016
233,Cursorius cursor,1,unknown,citation311,grant,7/17/2016
234,Cursorius rufus,1,unknown,citation311,grant,7/17/2016
235,Cursorius somalensis,1,unknown,citation311,grant,7/17/2016
236,Cursorius temminckii,1,unknown,citation311,grant,7/17/2016
237,Glareola cinerea,1,unknown,citation311,grant,7/17/2016
238,Glareola lactea,1,unknown,citation311,grant,7/17/2016
239,Glareola maldivarum,1,unknown,citation311,grant,7/17/2016
240,Glareola nordmanni,1,unknown,citation311,grant,7/17/2016
241,Glareola nuchalis,1,unknown,citation311,grant,7/17/2016
242,Glareola ocularis,1,unknown,citation311,grant,7/17/2016
243,Glareola pratincola,1,unknown,citation311,grant,7/17/2016
244,Rhinoptilus bitorquatus,1,unknown,citation311,grant,7/17/2016
245,Rhinoptilus chalcopterus,1,unknown,citation311,grant,7/17/2016
246,Rhinoptilus cinctus,1,unknown,citation311,grant,7/17/2016
247,Smutsornis africanus,1,unknown,citation311,grant,7/17/2016
248,Stiltia isabella,1,unknown,citation311,grant,7/17/2016
249,Haematopus ater,1,unknown,citation311,grant,7/17/2016
250,Haematopus chathamensis,1,unknown,citation311,grant,7/17/2016
251,Haematopus fuliginosus,1,unknown,citation311,grant,7/17/2016
252,Haematopus leucopodus,1,unknown,citation311,grant,7/17/2016
253,Haematopus longirostris,1,unknown,citation311,grant,7/17/2016
254,Haematopus meadewaldoi,1,unknown,citation311,grant,7/17/2016
255,Haematopus moquini,1,unknown,citation311,grant,7/17/2016
256,Haematopus ostralegus,1,unknown,citation311,grant,7/17/2016
257,Haematopus palliatus,1,unknown,citation311,grant,7/17/2016
258,Haematopus unicolor,1,unknown,citation311,grant,7/17/2016
259,Hydrobates castro,1,Cr,citation311,grant,7/17/2016
260,Hydrobates castro,2,Bu,citation311,grant,7/17/2016
261,Hydrobates furcatus,1,Bu,citation311,grant,7/17/2016
262,Hydrobates furcatus,2,Cr,citation311,grant,7/17/2016
263,Hydrobates homochroa,1,Cr,citation311,grant,7/17/2016
264,Hydrobates hornbyi,1,unknown,citation311,grant,7/17/2016
265,Hydrobates leucorhous,1,Bu,citation311,grant,7/17/2016
266,Hydrobates leucorhous,2,Cr,citation311,grant,7/17/2016
267,Hydrobates macrodactylus,1,unknown,citation311,grant,7/17/2016
268,Hydrobates markhami,1,unknown,citation311,grant,7/17/2016
269,Hydrobates matsudairae,1,Bu,citation311,grant,7/17/2016
270,Hydrobates melania,1,Bu,citation311,grant,7/17/2016
271,Hydrobates melania,2,Cr,citation311,grant,7/17/2016
272,Hydrobates microsoma,1,Cr,citation311,grant,7/17/2016
273,Hydrobates monorhis,1,Bu,citation311,grant,7/17/2016
274,Hydrobates monteiroi,1,Cr,citation311,grant,7/17/2016
275,Hydrobates monteiroi,2,Bu,citation311,grant,7/17/2016
276,Hydrobates pelagicus,1,Cr,citation311,grant,7/17/2016
277,Hydrobates tethys,1,Cr,citation311,grant,7/17/2016
278,Hydrobates tethys,2,Un,citation311,grant,7/17/2016
279,Hydrobates tristrami,1,Bu,citation311,grant,7/17/2016
280,Hydrobates tristrami,2,Cr,citation311,grant,7/17/2016
281,Ibidorhyncha struthersii,1,unknown,citation311,grant,7/17/2016
282,Actophilornis africanus,1,unknown,citation311,grant,7/17/2016
