species_id,nearshore,nsplus,offshore
Aethia cristatella,NS,,OS
Aethia psittacula,,,OS
Aethia pusilla,NS,,OS
Aethia pygmaea,NS,,
Alca torda,NS,,
Alle alle,NS,,OS
Brachyramphus brevirostris,NS,,
Brachyramphus marmoratus,NS,,OS
Brachyramphus perdix,,,
Cepphus carbo,,,
Cepphus columba,NS,,
Cepphus grylle,NS,,
Cerorhinca monocerata,NS,,OS
Fratercula arctica,NS,,OS
Fratercula cirrhata,,,OS
Fratercula corniculata,,,OS
Pinguinus impennis,,,
Ptychoramphus aleuticus,NS,,OS
Synthliboramphus antiquus,NS,,OS
Synthliboramphus craveri,,,
Synthliboramphus hypoleucus,,,OS
Synthliboramphus scrippsi,,,
Synthliboramphus wumizusume,,NS+,
Uria aalge,NS,,OS
Uria lomvia,NS,,OS
Anhinga anhinga,,,
Anhinga melanogaster,,,
Anhinga novaehollandiae,,,
Anhinga rufa,,,
Agamia agami,,,
Ardea alba,,,
Ardea brachyrhyncha,,,
Ardea cinerea,,,
Ardea cocoi,,,
Ardea goliath,,,
Ardea herodias,,,
Ardea humbloti,,,
Ardea insignis,,,
Ardea intermedia,,,
Ardea melanocephala,,,
Ardea pacifica,,,
Ardea plumifera,,,
Ardea purpurea,,,
Ardea sumatrana,,,
Ardeola bacchus,,,
Ardeola grayii,,,
Ardeola idae,,,
Ardeola ralloides,,,
Ardeola rufiventris,,,
Ardeola speciosa,,,
Botaurus lentiginosus,,,
Botaurus pinnatus,,,
Botaurus poiciloptilus,,,
Botaurus stellaris,,,
Bubulcus ibis,,,
Butorides striata,,,
Calherodius leuconotus,,,
Cochlearius cochlearius,,,
Egretta ardesiaca,,,
Egretta caerulea,,,
Egretta eulophotes,,,
Egretta garzetta,,,
Egretta gularis,,,
Egretta novaehollandiae,,,
Egretta picata,,,
Egretta rufescens,,,
Egretta sacra,,,
Egretta thula,,,
Egretta tricolor,,,
Egretta vinaceigula,,,
Gorsachius goisagi,,,
Gorsachius magnificus,,,
Gorsachius melanolophus,,,
Ixobrychus cinnamomeus,,,
Ixobrychus dubius,,,
Ixobrychus eurhythmus,,,
Ixobrychus exilis,,,
Ixobrychus flavicollis,,,
Ixobrychus involucris,,,
Ixobrychus minutus,,,
Ixobrychus novaezelandiae,,,
Ixobrychus sinensis,,,
Ixobrychus sturmii,,,
Nyctanassa carcinocatactes,,,
Nyctanassa violacea,,,
Nycticorax caledonicus,,,
Nycticorax duboisi,,,
Nycticorax mauritianus,,,
Nycticorax megacephalus,,,
Nycticorax nycticorax,,,
Pilherodius pileatus,,,
Syrigma sibilatrix,,,
Tigriornis leucolopha,,,
Tigrisoma fasciatum,,,
Tigrisoma lineatum,,,
Tigrisoma mexicanum,,,
Zebrilus undulatus,,,
Zonerodius heliosylus,,,
Balaeniceps rex,,,
Burhinus bistriatus,,,
Burhinus capensis,,,
Burhinus grallarius,,,
Burhinus indicus,,,
Burhinus oedicnemus,,,
Burhinus senegalensis,,,
Burhinus superciliaris,,,
Burhinus vermiculatus,,,
Esacus magnirostris,,,
Esacus recurvirostris,,,
Anarhynchus frontalis,,,
Charadrius alexandrinus,,,
Charadrius alticola,,,
Charadrius aquilonius,,,
Charadrius asiaticus,,,
Charadrius bicinctus,,,
Charadrius bifrontatus,,,
Charadrius collaris,,,
Charadrius dealbatus,,,
Charadrius dubius,,,
Charadrius falklandicus,,,
Charadrius forbesi,,,
Charadrius hiaticula,,,
Charadrius javanicus,,,
Charadrius leschenaultii,,,
Charadrius marginatus,,,
Charadrius melodus,,,
Charadrius modestus,,,
Charadrius mongolus,,,
Charadrius montanus,,,
Charadrius nivosus,,,
Charadrius obscurus,,,
Charadrius pallidus,,,
Charadrius pecuarius,,,
Charadrius peronii,,,
Charadrius placidus,,,
Charadrius ruficapillus,,,
Charadrius sanctaehelenae,,,
Charadrius semipalmatus,,,
Charadrius thoracicus,,,
Charadrius tricollaris,,,
Charadrius veredus,,,
Charadrius vociferus,,,
Charadrius wilsonia,,,
Elseyornis melanops,,,
Erythrogonys cinctus,,,
Eudromias morinellus,,,
Hoploxypterus cayanus,,,
Oreopholus ruficollis,,,
Peltohyas australis,,,
Phegornis mitchellii,,,
Pluvialis apricaria,,,
Pluvialis dominica,,,
Pluvialis fulva,,,
Pluvialis squatarola,,,
Thinornis cucullatus,,,
Thinornis novaeseelandiae,,,
Vanellus albiceps,,,
Vanellus armatus,,,
Vanellus chilensis,,,
Vanellus cinereus,,,
Vanellus coronatus,,,
Vanellus crassirostris,,,
Vanellus duvaucelii,,,
Vanellus gregarius,,,
Vanellus indicus,,,
Vanellus leucurus,,,
Vanellus lugubris,,,
Vanellus macropterus,,,
Vanellus malarbaricus,,,
Vanellus melanocephalus,,,
Vanellus melanopterus,,,
Vanellus miles,,,
Vanellus novaehollandiae,,,
Vanellus resplendens,,,
Vanellus senegallus,,,
Vanellus spinosus,,,
Vanellus superciliosus,,,
Vanellus tectus,,,
Vanellus tricolor,,,
Vanellus vanellus,,,
Chionis albus,,,
Chionis minor,,,
Diomedea amsterdamensis,,,
Diomedea antipodensis,,,
Diomedea dabbenena,,,
Diomedea epomophora,,,OS
Diomedea exulans,,,OS
Diomedea sanfordi,,,
Phoebastria albatrus,,,
Phoebastria immutabilis,,,OS
Phoebastria irrorata,,,
Phoebastria nigripes,,,OS
Phoebetria fusca,NS,,
Phoebetria palpebrata,,,OS
Thalassarche bulleri,NS,,
Thalassarche carteri,,,OS
Thalassarche cauta,NS,,OS
Thalassarche chlororhynchos,,,OS
Thalassarche chrysostoma,,,OS
Thalassarche eremita,,,
Thalassarche impavida,,,OS
Thalassarche melanophris,NS,,OS
Thalassarche salvini,,,
Thalassarche steadi,,,
Dromas ardeola,,,
Fregata andrewsi,NS,,OS
Fregata aquila,,,OS
Fregata ariel,,,OS
Fregata magnificens,,,OS
Fregata minor,,,OS
Cursorius coromandelicus,,,
Cursorius cursor,,,
Cursorius rufus,,,
Cursorius somalensis,,,
Cursorius temminckii,,,
Glareola cinerea,,,
Glareola lactea,,,
Glareola maldivarum,,,
Glareola nordmanni,,,
Glareola nuchalis,,,
Glareola ocularis,,,
Glareola pratincola,,,
Rhinoptilus bitorquatus,,,
Rhinoptilus chalcopterus,,,
Rhinoptilus cinctus,,,
Smutsornis africanus,,,
Stiltia isabella,,,
Haematopus ater,,,
Haematopus chathamensis,,,
Haematopus fuliginosus,,,
Haematopus leucopodus,,,
Haematopus longirostris,,,
Haematopus meadewaldoi,,,
Haematopus moquini,,,
Haematopus ostralegus,,,
Haematopus palliatus,,,
Haematopus unicolor,,,
Hydrobates castro,,,
Hydrobates furcatus,,,OS
Hydrobates homochroa,NS,,OS
Hydrobates hornbyi,,,OS
Hydrobates leucorhous,,,OS
Hydrobates macrodactylus,,,
Hydrobates markhami,,,OS
Hydrobates matsudairae,,,
Hydrobates melania,,,
Hydrobates microsoma,,,
Hydrobates monorhis,,,
Hydrobates monteiroi,,,
Hydrobates pelagicus,,,OS
Hydrobates tethys,,,OS
Hydrobates tristrami,,,OS
Ibidorhyncha struthersii,,,
Actophilornis africanus,,,
Actophilornis albinucha,,,
Hydrophasianus chirurgus,,,
Irediparra gallinacea,,,
Jacana jacana,,,
Jacana spinosa,,,
Metopidius indicus,,,
Microparra capensis,,,
Anous minutus,,NS+,
Anous stolidus,,NS+,
Anous tenuirostris,,,
Chlidonias albostriatus,,,
Chlidonias hybrida,,,
Chlidonias leucopterus,,,
Chlidonias niger,NS,,
Creagrus furcatus,,,OS
Gelochelidon macrotarsa,,,
Gelochelidon nilotica,NS,,
Gygis alba,NS,,OS
Gygis microrhyncha,,,
Hydrocoloeus minutus,NS,,
Hydroprogne caspia,NS,,
Larosterna inca,,,
Larus argentatus,NS,,
Larus armenicus,,,
Larus atlanticus,,,
Larus atricilla,NS,,
Larus audouinii,,,
Larus belcheri,,,
Larus brunnicephalus,,,
Larus bulleri,,,
Larus cachinnans,,,
Larus californicus,NS,,
Larus canus,,,
Larus cirrocephalus,,,
Larus crassirostris,,,
Larus delawarensis,NS,,
Larus dominicanus,NS,,
Larus fuliginosus,,,
Larus fuscus,,,
Larus genei,,,
Larus glaucescens,NS,,
Larus glaucoides,,,
Larus hartlaubii,,,
Larus heermanni,,,
Larus hemprichii,,,
Larus hyperboreus,,,
Larus ichthyaetus,,,
Larus leucophthalmus,,,
Larus livens,NS,,
Larus maculipennis,,,
Larus marinus,NS,,OS
Larus melanocephalus,,,
Larus michahellis,,,
Larus modestus,,,
Larus novaehollandiae,NS,,
Larus occidentalis,NS,,
Larus pacificus,,,
Larus philadelphia,,,
Larus pipixcan,NS,,
Larus relictus,,,
Larus ridibundus,NS,,
Larus schistisagus,,,
Larus scopulinus,,,
Larus scoresbii,NS,,
Larus serranus,,,
Larus smithsonianus,,,
Larus thayeri,,,
Onychoprion aleuticus,,NS+,
Onychoprion anaethetus,NS,,OS
Onychoprion fuscatus,,,OS
Onychoprion lunatus,,NS+,
Pagophila eburnea,NS,,
Phaetusa simplex,,,
Procelsterna albivitta,,,
Procelsterna cerulea,,,
Rhodostethia rosea,,,
Rissa brevirostris,,,OS
Rissa tridactyla,NS,,
Rynchops albicollis,NS,,
Rynchops flavirostris,NS,,
Rynchops niger,NS,,
Saundersilarus saundersi,,,
Sterna acuticauda,,,
Sterna aurantia,NS,,
Sterna dougallii,NS,,
Sterna forsteri,,,
Sterna hirundinacea,NS,,OS
Sterna hirundo,NS,,
Sterna paradisaea,NS,,
Sterna repressa,,,
Sterna striata,,,
Sterna sumatrana,NS,,
Sterna trudeaui,,,
Sterna virgata,,,
Sterna vittata,,,
Sternula albifrons,,,
Sternula antillarum,NS,,
Sternula balaenarum,,,
Sternula lorata,,,
Sternula nereis,,,
Sternula saundersi,,,
Sternula superciliaris,,,
Thalasseus bengalensis,,,
Thalasseus bergii,NS,,
Thalasseus bernsteini,,,
Thalasseus elegans,NS,,OS
Thalasseus maximus,NS,,
Thalasseus sandvicensis acuflavida,NS,,
Thalasseus sandvicensis eurygnatha,NS,,
Xema sabini,NS,,
Fregetta grallaria,,,OS
Fregetta maoriana,,,
Fregetta tropica,,,OS
Garrodia nereis,,,OS
Nesofregetta fuliginosa,,,OS
Oceanites gracilis,,,
Oceanites gracilis galapagoensis,,,
Oceanites oceanicus,,,OS
Oceanites oceanicus chilensis,,,
Oceanites oceanicus exasperatus,,,
Oceanites oceanicus oceanicus,,,
Oceanites pincoyae,,,
Pelagodroma marina,,,OS
Pedionomus torquatus,,,
Pelecanus conspicillatus,NS,,OS
Pelecanus crispus,NS,,
Pelecanus erythrorhynchos,,,
Pelecanus occidentalis,NS,,OS
Pelecanus onocrotalus,NS,,
Pelecanus philippensis,,,
Pelecanus rufescens,,,
Pelecanus thagus,,,
Phaethon aethereus,,,OS
Phaethon lepturus,,,OS
Phaethon rubricauda,,,OS
Microcarbo africanus,,NS+,
Microcarbo coronatus,NS,,
Microcarbo melanoleucos,NS,,
Microcarbo niger,NS,,
Microcarbo pygmaeus,NS,,
Phalacrocorax bransfieldensis,NS,,
Phalacrocorax georgianus,NS,,
Phalacrocorax aristotelis,NS,,OS
Phalacrocorax atriceps,NS,,
Phalacrocorax auritus,NS,,
Phalacrocorax bougainvilliorum,NS,,OS
Phalacrocorax brasilianus,NS,,
Phalacrocorax campbelli,NS,,OS
Phalacrocorax capensis,NS,,
Phalacrocorax capillatus,NS,,
Phalacrocorax carbo,NS,,OS
Phalacrocorax carunculatus,NS,,
Phalacrocorax chalconotus,NS,,
Phalacrocorax colensoi,NS,,OS
Phalacrocorax featherstoni,NS,,OS
Phalacrocorax fuscescens,NS,,
Phalacrocorax fuscicollis,,,
Phalacrocorax gaimardi,,,
Phalacrocorax harrisi,NS,,
Phalacrocorax magellanicus,NS,,
Phalacrocorax neglectus,NS,,
Phalacrocorax nigrogularis,NS,,
Phalacrocorax onslowi,NS,,
Phalacrocorax pelagicus,NS,,OS
Phalacrocorax penicillatus,,NS+,
Phalacrocorax perspicillatus,,,
Phalacrocorax punctatus,NS,,OS
Phalacrocorax ranfurlyi,NS,,OS
Phalacrocorax sulcirostris,,,
Phalacrocorax urile,NS,,OS
Phalacrocorax varius,,,OS
Phalacrocorax verrucosus,,,
Pluvianellus socialis,,,
Pluvianus aegyptius,,,
Aphrodroma brevirostris,,,OS
Ardenna bulleri,,,OS
Ardenna carneipes,NS,,OS
Ardenna creatopus,,,
Ardenna gravis,,,
Ardenna grisea,,,OS
Ardenna pacifica,,,OS
Ardenna tenuirostris,,,OS
Bulweria bifax,,,
Bulweria bulwerii,,,OS
Bulweria fallax,,,
Calonectris borealis,,,OS
Calonectris diomedea,,,
Calonectris edwardsii,,,
Calonectris leucomelas,,,
Daption capense,,,OS
Fulmarus glacialis,,,OS
Fulmarus glacialoides,,,OS
Halobaena caerulea,NS,,
Macronectes giganteus,,,OS
Macronectes halli,NS,,
Pachyptila belcheri,,NS+,
Pachyptila crassirostris,NS,,
Pachyptila desolata,,,OS
Pachyptila salvini,,,
Pachyptila turtur,NS,,
Pachyptila vittata,,,OS
Pagodroma nivea,NS,,OS
Pelecanoides garnotii,NS,,
Pelecanoides georgicus,NS,,
Pelecanoides magellani,NS,,
Pelecanoides urinatrix,NS,,
Pelecanoides urinatrix exsul,,,
Procellaria aequinoctialis,,,OS
Procellaria cinerea,,,OS
Procellaria conspicillata,,,OS
Procellaria parkinsoni,,,OS
Procellaria westlandica,,,OS
Pseudobulweria aterrima,,,
Pseudobulweria becki,,,
Pseudobulweria macgillivrayi,,,
Pseudobulweria rostrata,,,
Pterdroma occulta,,,
Pterodroma alba,NS,,
Pterodroma arminjoniana,,,OS
Pterodroma atrata,,,OS
Pterodroma axillaris,,,
Pterodroma baraui,,,
Pterodroma brevipes,,,
Pterodroma cahow,,,OS
Pterodroma caribbaea,,,
Pterodroma cervicalis,,,
Pterodroma cookii,,,OS
Pterodroma defilippiana,,,
Pterodroma deserta,,,
Pterodroma externa,,,OS
Pterodroma feae,,,
Pterodroma gouldi,,,
Pterodroma hasitata,,,OS
Pterodroma heraldica,NS,,
Pterodroma hypoleuca,,,OS
Pterodroma incerta,,,
Pterodroma inexpectata,,,OS
Pterodroma lessonii,,,OS
Pterodroma leucoptera,,,OS
Pterodroma longirostris,,,OS
Pterodroma macroptera,,,OS
Pterodroma madeira,,,
Pterodroma magentae,,,OS
Pterodroma mollis,,,OS
Pterodroma neglecta,NS,,
Pterodroma nigripennis,,,OS
Pterodroma phaeopygia,,,OS
Pterodroma pycrofti,,,
Pterodroma rupinarum,,,
Pterodroma sandwichensis,,,OS
Pterodroma solandri,,,OS
Pterodroma ultima,,,
Puffinus assimilis,,,OS
Puffinus auricularis,,,OS
Puffinus bailloni,,,
Puffinus bannermani,,,
Puffinus bryani,,,
Puffinus elegans,,,
Puffinus gavia,NS,,OS
Puffinus heinrothi,,,
Puffinus huttoni,NS,,OS
Puffinus lherminieri,,NS+,
Puffinus mauretanicus,,,
Puffinus nativitatis,,,
Puffinus newelli,,,OS
Puffinus opisthomelas,NS,,
Puffinus persicus,,,
Puffinus puffinus,,,OS
Puffinus subalaris,,,
Puffinus yelkouan,NS,,
Thalassoica antarctica,NS,,OS
Cladorhynchus leucocephalus,,,
Himantopus himantopus,,,
Himantopus novaezelandiae,,,
Recurvirostra americana,,,
Recurvirostra andina,,,
Recurvirostra avosetta,,,
Recurvirostra novaehollandiae,,,
Nycticryphes semicollaris,,,
Rostratula australis,,,
Rostratula benghalensis,,,
Actitis hypoleucos,,,
Actitis macularius,,,
Arenaria interpres,,,
Arenaria melanocephala,,,
Bartramia longicauda,,,
Calidris acuminata,,,
Calidris alba,,,
Calidris alpina,,,
Calidris bairdii,,,
Calidris canutus,,,
Calidris falcinellus,,,
Calidris ferruginea,,,
Calidris fuscicollis,,,
Calidris himantopus,,,
Calidris maritima,,,
Calidris mauri,,,
Calidris melanotos,,,
Calidris minuta,,,
Calidris minutilla,,,
Calidris ptilocnemis,,,
Calidris pugnax,,,
Calidris pusilla,,,
Calidris pygmaea,,,
Calidris ruficollis,,,
Calidris subminuta,,,
Calidris subruficollis,,,
Calidris temminckii,,,
Calidris tenuirostris,,,
Calidris virgata,,,
Coenocorypha aucklandica,,,
Coenocorypha barrierensis,,,
Coenocorypha huegeli,,,
Coenocorypha iredalei,,,
Coenocorypha pusilla,,,
Gallinago andina,,,
Gallinago delicata,,,
Gallinago gallinago,,,
Gallinago hardwickii,,,
Gallinago imperialis,,,
Gallinago jamesoni,,,
Gallinago macrodactyla,,,
Gallinago media,,,
Gallinago megala,,,
Gallinago nemoricola,,,
Gallinago nigripennis,,,
Gallinago nobilis,,,
Gallinago paraguaiae,,,
Gallinago solitaria,,,
Gallinago stenura,,,
Gallinago stricklandii,,,
Gallinago undulata,,,
Limnodromus griseus,,,
Limnodromus scolopaceus,,,
Limnodromus semipalmatus,,,
Limosa fedoa,,,
Limosa haemastica,,,
Limosa lapponica,,,
Limosa limosa,,,
Lymnocryptes minimus,,,
Numenius americanus,,,
Numenius arquata,,,
Numenius borealis,,,
Numenius madagascariensis,,,
Numenius minutus,,,
Numenius phaeopus,,,
Numenius tahitiensis,,,
Numenius tenuirostris,,,
Phalaropus fulicarius,,,
Phalaropus lobatus,,,
Prosobonia cancellata,,,
Prosobonia ellisi,,,
Prosobonia leucoptera,,,
Prosobonia parvirostris,,,
Scolopax bukidnonensis,,,
Scolopax celebensis,,,
Scolopax minor,,,
Scolopax mira,,,
Scolopax rochussenii,,,
Scolopax rosenbergii,,,
Scolopax rusticola,,,
Scolopax saturata,,,
Steganopus tricolor,,,
Tringa brevipes,,,
Tringa erythropus,,,
Tringa flavipes,,,
Tringa glareola,,,
Tringa guttifer,,,
Tringa incana,,,
Tringa melanoleuca,,,
Tringa nebularia,,,
Tringa ochropus,,,
Tringa semipalmata,,,
Tringa solitaria,,,
Tringa stagnatilis,,,
Tringa totanus,,,
Xenus cinereus,,,
Scopus umbretta,,,
Aptenodytes forsteri,,,OS
Aptenodytes patagonicus,,,OS
Eudyptes chrysocome,,,OS
Eudyptes chrysolophus,,NS+,OS
Eudyptes moseleyi,,,
Eudyptes pachyrhynchus,,NS+,
Eudyptes robustus,,,OS
Eudyptes schlegeli,,,OS
Eudyptes sclateri,,,OS
Eudyptula minor,NS,,
Megadyptes antipodes,NS,,
Pygoscelis adeliae,,NS+,
Pygoscelis antarcticus,,NS+,
Pygoscelis papua,NS,,
Spheniscus demersus,NS,,
Spheniscus humboldti,NS,,
Spheniscus magellanicus,NS,,
Spheniscus mendiculus,NS,,
Catharacta antarctica,NS,,
Catharacta chilensis,NS,,
Catharacta maccormicki,,NS+,
Catharacta skua,NS,,
Stercorarius longicaudus,NS,,
Stercorarius parasiticus,NS,,
Stercorarius pomarinus,,NS+,
Morus bassanus,,,OS
Morus capensis,,,OS
Morus serrator,,,OS
Papasula abbotti,,,OS
Sula dactylatra,,,OS
Sula granti,NS,,OS
Sula leucogaster,NS,,OS
Sula nebouxii,NS,,OS
Sula sula,,,OS
Sula variegata,NS,,OS
Attagis gayi,,,
Attagis malouinus,,,
Thinocorus orbignyianus,,,
Thinocorus rumicivorus,,,
Bostrychia bocagei,,,
Bostrychia carunculata,,,
Bostrychia hagedash,,,
Bostrychia olivacea,,,
Bostrychia rara,,,
Cercibis oxycerca,,,
Eudocimus albus,,,
Eudocimus ruber,,,
Geronticus calvus,,,
Geronticus eremita,,,
Lophotibis cristata,,,
Mesembrinibis cayennensis,,,
Nipponia nippon,,,
Phimosus infuscatus,,,
Platalea ajaja,,,
Platalea alba,,,
Platalea flavipes,,,
Platalea leucorodia,,,
Platalea minor,,,
Platalea regia,,,
Plegadis chihi,,,
Plegadis falcinellus,,,
Plegadis ridgwayi,,,
Pseudibis davisoni,,,
Pseudibis papillosa,,,
Thaumatibis gigantea,,,
Theristicus branickii,,,
Theristicus caerulescens,,,
Theristicus caudatus,,,
Theristicus melanopis,,,
Threskiornis aethiopicus,,,
Threskiornis bernieri,,,
Threskiornis melanocephalus,,,
Threskiornis moluccus,,,
Threskiornis solitarius,,,
Threskiornis spinicollis,,,
Ortyxelos meiffrenii,,,
Turnix castanotus,,,
Turnix everetti,,,
Turnix hottentottus,,,
Turnix maculosus,,,
Turnix melanogaster,,,
Turnix nanus,,,
Turnix nigricollis,,,
Turnix novaecaledoniae,,,
Turnix ocellatus,,,
Turnix olivii,,,
Turnix pyrrhothorax,,,
Turnix suscitator,,,
Turnix sylvaticus,,,
Turnix tanki,,,
Turnix varius,,,
Turnix velox,,,
Turnix worcesteri,,,
