feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
467,Pseudobulweriaaterrima,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS?,,,,,,,,,,,,,,,,,grant,27/06/2016
468,Pseudobulweriabecki,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
469,Pseudobulweriamacgillivrayi,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
470,Pseudobulweriarostrata,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,grant,27/06/2016
471,Pterdromaocculta,0.4,,,ca,0.4,,,ca,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TransEq,,,,,,,,,,,,,,,,grant,27/06/2016
472,Pterodromaalba,0.27,,,,0.27,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,83,,,,,,,,,,,,,,,grant,27/06/2016
473,Pterodromaarminjoniana,,0.29,0.46,,,0.29,0.46,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,88,102,,,,,,,,,,,,,grant,27/06/2016
474,Pterodromaatrata,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
475,Pterodromaaxillaris,0.2,,,,0.2,,,,,,,,,,1,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,71,,,,,,,,,,,,,grant,27/06/2016
476,Pterodromabaraui,0.4,,,,0.4,,,,,,,,,,1,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,grant,27/06/2016
477,Pterodromabrevipes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
478,Pterodromacahow,,,,,,,,,,,,,,,1,,,,,52,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,89,,,,,,,,,,,,,,,grant,27/06/2016
479,Pterodromacaribbaea,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,ca,,,,,,,,,,,,grant,27/06/2016
480,Pterodromacervicalis,,0.38,0.54,,,0.38,0.54,,,,,,,,1,,,,,,,,,,100,115,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,grant,27/06/2016
481,Pterodromacookii,0.19,,,,0.19,,,,,,,,,,1,,,,,,47,51,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,65,,,,,,,,,,,,,,,grant,27/06/2016
482,Pterodromadefilippiana,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,ca,,,,,,,,,,,,grant,27/06/2016
483,Pterodromadeserta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
484,Pterodromaexterna,,0.41,0.54,,,0.41,0.54,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,95,97,,,,,,,,,,,,,grant,27/06/2016
485,Pterodromafeae,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,95,,,,,,,,,,,,,grant,27/06/2016
486,Pterodromagouldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
487,Pterodromahasitata,,,,,,,,,,,,,,,1,,,,,,51,54,,,90,100,,,,,,,,,,,,,,,,,,,,,,,,,OS,,95,,,,,,,,,,,,,,,grant,27/06/2016
488,Pterodromaheraldica,0.32,,,,0.32,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,88,102,,,,,,,,,,,,,grant,27/06/2016
489,Pterodromahypoleuca,0.24,0.152,0.308,,0.24,0.152,0.308,,,,,,,,1,,,,,49,,,,82,77,89,,83,,,,,,,,,,,,,,,,,,,,,,,OS,,,63,71,,21,,,,,,,,,,,grant,27/06/2016
490,Pterodromaincerta,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS?,,100,,,,,,,,,,,,,,,grant,27/06/2016
491,Pterodromainexpectata,,0.24,0.44,,,0.24,0.44,,,,,,,,1,,,,61,,49,53,,,90,105,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,78,84,,,,,,,,,,,,,grant,27/06/2016
492,Pterodromalessonii,,0.58,0.81,,,0.58,0.81,,,,,,,,1,,,,99,60,,,ca,112,,,,,,,13,,,,,,,,,0.9,,,,,,,5.5,,,,OS,,109,,,,,,,,,,,,,,,grant,27/06/2016
493,Pterodromaleucoptera,,0.17,0.22,,,0.17,0.22,,,,,,,,1,,,,,,42,49,,,77,84,,,,,,,,,,,,,,,,,,,,,,,,,OS,,70,,,,,,,,,,,,,,,grant,27/06/2016
494,Pterodromalongirostris,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,53,,,,,,,,,,,,,,,grant,27/06/2016
495,Pterodromamacroptera,,0.46,0.75,,,0.46,0.75,,,,,,,,1,,,,90,,55,57,,125,,,,,,,,,,,,0,,,,,,,,,,,,6,7,,OS,,,97,102,,,,,,,,,,,,,grant,27/06/2016
496,Pterodromamadeira,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
497,Pterodromamagentae,,0.42,0.51,,,0.42,0.51,,,,,,,,1,,,,,52,,,,90,,,?,,,,,,,,0.26,,,,,,,,,,,,,,,,OS,,102,,,,,,,,,,,,,,,grant,27/06/2016
498,Pterodromamollis,,0.28,0.31,,,0.28,0.31,,,,,,,,1,,,,54,50,,,,,90,115,,,,,,,,,,0,,,,0.35,,,,,,,,,,,OS,,,83,95,,,,,,,,,,,,,grant,27/06/2016
499,Pterodromaneglecta,,0.37,0.59,,,0.37,0.59,,,,,,,,1,,,,,,50,52,,,110,130,,,,,,,,,,,,,,,,,,,,,,,,,NS,,92,,,,,,,,,,,,,,,grant,27/06/2016
500,Pterodromanigripennis,,0.17,0.21,,,0.17,0.2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,63,71,,,,,,,,,,,,,grant,27/06/2016
501,Pterodromaphaeopygia,0.43,,,,0.43,,,,,,,,,,1,,,,,55.3,54,58,,,110,119,,,,,10,,,,,0,,,,,,,,,,,5,5,6,,OS,,91,,,,,,,,93,,,,,,,grant,27/06/2016
502,Pterodromapycrofti,,0.13,0.2,,,0.13,0.2,,,,,,,,1,,,,,45,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,66,,,,,,72,,,,,,,grant,27/06/2016
503,Pterodromarupinarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
504,Pterodromasandwichensis,0.45,0.33,0.63,,0.45,0.33,0.63,,,,,,,,1,,,,,55.3,54,58,,,100,119,,,,,,,,,,0,,,,,,,,,,,,5,6,,OS,,,,,,,,,,93,,,,,,,grant,27/06/2016
505,Pterodromasolandri,,0.41,0.43,,,0.44,0.6,,,,,,,,1,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,95,105,,,,,,,,,,,,,grant,27/06/2016
506,Pterodromaultima,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS?,,97,,,,,,,,,,,,,,,grant,27/06/2016
507,Puffinusassimilis,0.18,,,,0.26,,,,,,,,,,1,,,,,,52,58,,,70,75,,,,,,,,,,,,,,,,,,,,,,,,,os,,,55,67,,,,,,,,,,,,,grant,27/06/2016
508,Puffinusauricularis,0.34,0.32,0.36,,0.34,0.32,0.36,,,,,,,,1,,,,,62,47,66,,92.4,88,100,,,,,,,,,,0,,,,,,,,,,,,4,7,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
509,Puffinusbailloni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
510,Puffinusbannermani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
511,Puffinusbryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
512,Puffinuselegans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
513,Puffinusgavia,,0.23,0.42,,,0.23,0.42,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NS,OS",,76,,,,,,,,,,,,,,,grant,27/06/2016
514,Puffinusheinrothi,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
515,Puffinushuttoni,0.37,,,,0.37,,,,,,,,,,1,,,,,51,50,60,,80,,,,46.5,57,85,,,,,,,,,,,,,,,,,,4,6,,"NS,OS",,,72,78,,,,,,93,,,,,,,grant,27/06/2016
516,Puffinuslherminieri,,0.15,0.23,,,0.15,0.23,,,,,,,,1,,,,,,49,51,,,62,75,,,,,,,,,,,,,,,,,,,,,8,,,ca,NS+,,,64,74,,,,,,93,,,,,,,grant,27/06/2016
517,Puffinusmauretanicus,,,,,,,,,,,,,,,1,,,,,50,,,ca,72,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
518,Puffinusnativitatis,,0.32,0.34,,,0.32,0.34,,,,,,,,1,,,,,,50,54,,96,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,71,81,,,,,,,,,,,,,grant,27/06/2016
519,Puffinusnewelli,0.39,0.34,0.43,,0.39,0.34,0.43,,,,,,,,1,,,,,,47,66,,,,,,,,,,,,,,0,,,,,,,,,,,,4,7,,OS,,,,,,,,,,90,,,,,,,grant,27/06/2016
520,Puffinusopisthomelas,0.41,,,,0.41,,,,,,,,,,1,,,,54.5,50,,,,69,,,,36,53,68,57,,,,,,,,,.354 -.403,.87-.99,,,,,,,,,,NS,,,76,89,,,,,,,,,,,,,grant,27/06/2016
521,Puffinuspersicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
522,Puffinuspuffinus,,0.35,0.58,,,0.3,0.45,,,,,201,,,1,,,,58,51.3,47,66,,69,92,76,,60,69,88,12,,,,,0,,,,0.6,,,,,,,6,,,,OS,,79,,,,45,,,,,88,93,,,,,grant,27/06/2016
523,Puffinussubalaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
524,Puffinusyelkouan,,0.34,0.42,,,0.34,0.42,,,,,,,,1,,,,,52,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,76,93,,,,,,,,,,,,,grant,27/06/2016
525,Thalassoicaantarctica,0.69,,,,0.81,,,,,,,,,,1,,,,90,,40,45,,,42,62,,,,,,,,,,,,,,,,,,,,,,,,,"NS,OS",,104,,,,,,,,90,,,,,,,grant,27/06/2016
526,Cladorhynchusleucocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
527,Himantopushimantopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
528,Himantopusnovaezelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
529,Recurvirostraamericana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
530,Recurvirostraandina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
531,Recurvirostraavosetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
532,Recurvirostranovaehollandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
533,Nycticryphessemicollaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
534,Rostratulaaustralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
535,Rostratulabenghalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
536,Actitishypoleucos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
537,Actitismacularius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
538,Arenariainterpres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
539,Arenariamelanocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
540,Bartramialongicauda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
541,Calidrisacuminata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
542,Calidrisalba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
543,Calidrisalpina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
544,Calidrisbairdii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
545,Calidriscanutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
546,Calidrisfalcinellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
547,Calidrisferruginea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
548,Calidrisfuscicollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
549,Calidrishimantopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
550,Calidrismaritima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
551,Calidrismauri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
552,Calidrismelanotos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
553,Calidrisminuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
554,Calidrisminutilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
555,Calidrisptilocnemis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
556,Calidrispugnax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
557,Calidrispusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
558,Calidrispygmaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
559,Calidrisruficollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
560,Calidrissubminuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
561,Calidrissubruficollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
562,Calidristemminckii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
563,Calidristenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
564,Calidrisvirgata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
565,Coenocoryphaaucklandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
566,Coenocoryphabarrierensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
567,Coenocoryphahuegeli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
568,Coenocoryphairedalei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
569,Coenocoryphapusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
570,Gallinagoandina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
571,Gallinagodelicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
572,Gallinagogallinago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
573,Gallinagohardwickii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
574,Gallinagoimperialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
575,Gallinagojamesoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
576,Gallinagomacrodactyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
577,Gallinagomedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
578,Gallinagomegala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
579,Gallinagonemoricola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
580,Gallinagonigripennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
581,Gallinagonobilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
582,Gallinagoparaguaiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
583,Gallinagosolitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
584,Gallinagostenura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
585,Gallinagostricklandii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
586,Gallinagoundulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
587,Limnodromusgriseus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
588,Limnodromusscolopaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
589,Limnodromussemipalmatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
590,Limosafedoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
591,Limosahaemastica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
592,Limosalapponica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
593,Limosalimosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
594,Lymnocryptesminimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
